,Metro name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,Atlanta,2.515,2.806666667,7.760833333,8.969166667,9.090833333,8.939166667,8.721666667,8.676666667,8.725833333,7.714444444
1,Austin,4.985,6.475833333,8.539166667,9.494166667,9.815833333,9.825833333,9.698333333,9.17,7.955833333,8.138888889
2,Baltimore,1.53,1.6825,3.083333333,4.270833333,3.946666667,2.465,2.43,2.549166667,2.659166667,2.716666667
3,Birmingham,2.28,3.258333333,5.020833333,4.878333333,5.720833333,6.500833333,6.828333333,6.430833333,6.698333333,7.82
4,Boston,5.28,5.5875,6.385833333,8.183333333,8.785,8.643333333,8.4625,8.4575,7.7075,7.034444444
5,Buffalo,2.265,2.710833333,2.175,2.500833333,3.64,3.611666667,3.611666667,4.105,3.3575,3.243333333
6,Charlotte,2.065,2.16,5.359166667,7.3225,7.535,8.2025,9.225,9.500833333,9.048333333,8.291111111
7,Chicago,1.47,2.051666667,3.233333333,4.914166667,5.385833333,3.393333333,3.900833333,3.896666667,3.026666667,2.655555556
8,Cincinnati,4.06,4.500833333,5.093333333,5.405,6.826666667,6.404166667,7.266666667,7.849166667,7.860833333,8.49
9,Cleveland,3.485,3.705833333,4.571666667,5.615,6.0325,5.485833333,6.099166667,6.929166667,6.939166667,7.141111111
10,Columbus,4.855,4.9275,5.439166667,7.6075,8.3825,8.595,9.038333333,9.365833333,9.170833333,8.967777778
11,Dallas,5.34,6.130833333,8.225,9.475,9.905833333,9.908333333,9.8825,9.798333333,8.979166667,6.983333333
12,Denver,5.11,6.4525,8.830833333,9.5875,9.819166667,9.9525,9.941666667,9.894166667,9.875833333,9.342222222
13,Detroit,6.375,6.373333333,7.076666667,7.010833333,6.858333333,5.85,6.0925,7.049166667,6.599166667,5.966666667
14,Hartford,3.41,3.546666667,2.478333333,3.385,2.905833333,2.275833333,1.693333333,2.466666667,2.503333333,2.454444444
15,Houston,4.64,4.419166667,6.8,8.814166667,9.589166667,9.415,8.195833333,6.7525,5.499166667,4.467777778
16,Indianapolis,1.985,1.9525,2.9325,5.895,6.845833333,6.144166667,6.888333333,8.176666667,8.38,8.213333333
17,Jacksonville,2.98,3.5925,4.728333333,6.2425,4.861666667,5.7925,6.315,5.8525,5.268333333,4.204444444
18,Kansas City,3.85,3.795,4.990833333,6.966666667,8.051666667,8.729166667,9.2625,9.600833333,9.66,9.403333333
19,Las Vegas,7.885,7.7975,8.949166667,9.568333333,9.343333333,9.205,8.811666667,9.561666667,9.42,5.563333333
20,Los Angeles,7.34,7.0325,8.441666667,9.746666667,9.516666667,9.510833333,9.48,9.4825,8.826666667,7.052222222
21,Louisville,5.93,6.278333333,5.97,6.790833333,7.1375,7.685,8.445833333,8.76,8.194166667,7.883333333
22,Memphis,7.61,6.7525,7.416666667,7.149166667,7.894166667,7.655833333,7.710833333,8.734166667,8.91,9.491111111
23,Miami,6.96,6.305833333,7.684166667,7.714166667,6.525,5.885,5.2325,3.513333333,2.404166667,2.081111111
24,Milwaukee,0.85,1.969166667,2.714166667,3.54,4.983333333,4.730833333,5.855833333,6.680833333,6.960833333,7.873333333
25,Minneapolis,0.57,1.708333333,4.143333333,6.48,7.635,7.873333333,7.9625,7.971666667,7.854166667,8.104444444
26,Nashville,3.225,3.99,5.9675,8.295,9.093333333,9.4475,9.8,9.735,8.8175,8.024444444
27,New York,0.275,0.354166667,0.325,0.458333333,0.805,0.504166667,0.460833333,0.346666667,0.268333333,0.27
28,Oklahoma City,6.165,5.709166667,7.089166667,7.818333333,8.6975,8.283333333,7.4,5.9625,5.195,7.766666667
29,Orlando,6.79,7.099166667,8.364166667,8.355,6.971666667,5.935,7.4325,5.796666667,4.835833333,4.131111111
30,Philadelphia,1.295,1.310833333,1.544166667,2.5625,3.274166667,2.223333333,2.461666667,2.864166667,2.6475,3.215555556
31,Phoenix,6.12,7.830833333,9.6075,9.435833333,8.4075,9.139166667,8.814166667,8.713333333,8.815,9.013333333
32,Pittsburgh,3.5,3.636666667,4.148333333,4.550833333,5.37,4.441666667,4.411666667,3.516666667,3.523333333,4.481111111
33,Portland,4.21,5.335833333,8.5225,9.2925,9.475833333,9.7525,9.815,9.566666667,8.975833333,7.677777778
34,Providence,2.54,2.739166667,2.9275,3.8375,4.708333333,4.156666667,4.894166667,5.543333333,4.774166667,4.13
35,Raleigh,2.24,2.4075,5.1925,7.62,8.7425,9.22,9.636666667,9.755833333,9.505,8.677777778
36,Richmond,3.765,3.314166667,6.366666667,7.600833333,7.95,7.046666667,7.061666667,7.986666667,7.473333333,7.711111111
37,Riverside,7.555,7.570833333,8.755833333,9.4425,9.1375,8.385833333,8.065833333,8.369166667,7.08,5.37
38,Rochester,4.755,4.633333333,2.868333333,2.516666667,3.339166667,3.821666667,4.9975,5.761666667,5.284166667,5.941111111
39,Sacramento,7.715,8.258333333,9.205,9.754166667,9.583333333,9.646666667,9.7875,9.8875,9.550833333,9.206666667
40,Salt Lake City,7.315,7.41,8.9425,9.209166667,9.086666667,9.495,9.871666667,9.925833333,9.8875,9.765555556
41,San Antonio,2.11,3.590833333,5.49,7.0975,8.845833333,8.915,8.755,7.778333333,6.845833333,6.497777778
42,San Diego,7.155,6.79,8.214166667,9.719166667,9.479166667,9.506666667,9.718333333,9.855,8.855833333,7.41
