,Metro name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,Atlanta,1.025,0.645833333,1.916666667,4.423333333,3.955,5.289166667,5.210833333,7.795833333,9.486666667,8.141111111
1,Austin,0.42,0.746666667,1.916666667,4.345,7.4775,9.338333333,7.3675,6.044166667,4.509166667,4.246666667
2,Baltimore,1.355,0.7475,1.775,5.383333333,5.35,3.746666667,4.679166667,7.2275,9.065833333,9.065555556
3,Birmingham,0.98,0.715833333,2.1025,3.014166667,3.933333333,5.404166667,6.395,7.43,8.653333333,9.584444444
4,Boston,1.495,0.95,1.534166667,3.083333333,4.361666667,5.568333333,5.88,8.0775,9.408333333,7.85
5,Buffalo,2.525,1.696666667,1.285833333,2.538333333,4.298333333,5.638333333,5.764166667,7.539166667,9.166666667,8.868888889
6,Charlotte,1.165,0.6225,1.916666667,3.629166667,3.614166667,5.2325,6.41,8.605,9.175833333,7.466666667
7,Chicago,1.305,0.606666667,1.909166667,4.485833333,5.630833333,3.3325,5.429166667,7.765,9.470833333,8.203333333
8,Cincinnati,1.495,0.708333333,1.799166667,3.020833333,4.563333333,4.868333333,6.4025,7.523333333,8.668333333,9.595555556
9,Cleveland,1.54,0.606666667,1.87,3.48,4.540833333,4.494166667,6.363333333,7.523333333,8.948333333,9.222222222
10,Columbus,1.915,0.934166667,1.48,3.106666667,4.135833333,5.366666667,6.269166667,7.9525,9.229166667,8.275555556
11,Dallas,0.885,0.669166667,1.916666667,3.668333333,6.199166667,9.486666667,6.94,8.1225,5.389166667,3.281111111
12,Denver,0.465,0.739166667,1.916666667,3.1225,4.6025,8.396666667,7.235,7.064166667,8.410833333,4.58
13,Detroit,1.685,0.614166667,1.931666667,4.695833333,4.4775,3.824166667,5.7875,7.655,9.486666667,8.328888889
14,Hartford,3.46,2.1575,0.825,5.429166667,4.758333333,4.478333333,3.5975,7.4525,9.111666667,8.817777778
15,Houston,1.405,0.606666667,1.8925,5.459166667,8.940833333,8.800833333,5.094166667,4.954166667,6.175833333,3.788888889
16,Indianapolis,1.64,0.606666667,1.853333333,3.621666667,4.484166667,4.665833333,6.106666667,7.523333333,9.346666667,8.691111111
17,Jacksonville,0.885,0.669166667,1.9325,4.430833333,3.090833333,5.015833333,6.541666667,7.686666667,9.346666667,8.184444444
