,Metro name,2010,2011,2012,2013,2014,2015,2016,2017,2018
0,Atlanta,,,,-0.144,-0.071,0.084,-0.022,-0.116,-0.136
1,Austin,,,,-0.224,-0.118,0.059,0.013,0.026,-0.095
2,Baltimore,,,,-0.309,0,-0.092,-0.104,-0.111,-0.146
3,Birmingham,,,,-0.06,-0.115,0.01,0,-0.045,-0.102
4,Boston,,,,-0.24,-0.098,-0.133,-0.111,-0.174,-0.091
5,Buffalo,,,,-0.188,-0.078,-0.118,-0.218,-0.14,-0.157
6,Charlotte,,,,-0.058,-0.068,-0.22,-0.14,-0.039,-0.098
7,Chicago,,,,-0.235,-0.068,-0.049,-0.037,-0.117,-0.095
8,Cincinnati,,,,-0.117,-0.105,-0.154,-0.143,-0.133,-0.146
9,Cleveland,,,,-0.15,-0.059,-0.176,-0.143,-0.202,-0.154
10,Columbus,,,,-0.147,-0.051,-0.26,-0.133,-0.125,-0.115
11,Dallas,,,,-0.157,-0.125,-0.082,-0.028,-0.123,0.06
12,Denver,,,,-0.117,0.013,-0.345,-0.015,-0.067,-0.1
13,Detroit,,,,-0.259,0.041,-0.058,-0.07,-0.193,-0.123
14,Hartford,,,,-0.15,0.009,-0.098,-0.075,-0.207,-0.078
15,Houston,,,,-0.196,-0.134,0.079,0.023,-0.054,0.011
16,Indianapolis,,,,,,,,,
17,Jacksonville,,,,-0.219,0.013,-0.128,0.086,-0.186,0.04
18,Kansas City,,,,,,,,,
19,Las Vegas,,,,-0.029,0.013,-0.071,-0.012,-0.298,-0.016
20,Los Angeles,,,,-0.147,0,-0.087,-0.029,-0.114,0.063
21,Louisville,,,,-0.105,-0.126,-0.125,-0.147,-0.213,-0.146
22,Memphis,,,,-0.126,-0.126,-0.125,-0.109,-0.236,-0.128
23,Miami,,,,-0.151,0.072,-0.128,0.147,0.114,-0.011
24,Milwaukee,,,,-0.207,-0.101,-0.185,-0.146,-0.128,-0.233
25,Minneapolis,,,,-0.11,-0.071,-0.18,-0.056,-0.152,-0.159
26,Nashville,,,,-0.184,-0.178,-0.274,-0.015,-0.211,-0.028
27,New York,,,,-0.238,-0.058,-0.039,-0.058,-0.098,-0.071
28,Oklahoma City,,,,-0.125,-0.111,-0.134,0.051,0,-0.055
29,Orlando,,,,-0.247,0.041,-0.122,0.079,-0.19,-0.068
30,Philadelphia,,,,-0.208,-0.01,-0.135,-0.05,-0.16,-0.13
31,Phoenix,,,,-0.09,0,-0.192,-0.147,-0.155,-0.152
32,Pittsburgh,,,,-0.158,-0.11,-0.159,-0.017,-0.126,-0.194
33,Portland,,,,-0.085,-0.116,-0.211,-0.061,-0.119,0.026
34,Providence,,,,-0.15,-0.063,-0.109,-0.096,-0.206,-0.109
35,Raleigh,,,,-0.176,-0.213,-0.063,-0.062,-0.024,-0.119
36,Richmond,,,,-0.099,0.071,-0.106,-0.023,-0.068,-0.091
37,Riverside,,,,-0.143,0.029,-0.09,-0.051,-0.205,-0.014
38,Rochester,,,,-0.134,-0.152,-0.044,-0.167,-0.119,-0.048
39,Sacramento,,,,-0.065,0.063,-0.108,-0.043,-0.159,0.049
40,Salt Lake City,,,,-0.244,0.076,-0.224,-0.129,-0.048,0.115
41,San Antonio,,,,-0.182,-0.101,-0.298,0.069,0.027,-0.111
42,San Diego,,,,-0.237,0.175,-0.25,-0.017,-0.097,0.049
43,San Francisco,,,,-0.06,0.087,-0.08,0.174,-0.021,0.926
44,San Jose,,,,,,,,,
45,Seattle,,,,-0.19,0,-0.244,0,-0.016,0.115
46,St. Louis,,,,-0.031,0.02,-0.127,-0.115,-0.143,-0.022
47,Tampa,,,,-0.242,-0.025,-0.202,-0.014,-0.167,-0.062
48,Virginia Beach,,,,-0.03,0.048,-0.054,-0.045,-0.15,-0.12
49,Washington,,,,-0.267,0.143,-0.058,-0.14,-0.1,-0.111
