,Metro name,2010,2011,2012,2013,2014,2015,2016,2017,2018
0,Atlanta,,,,66.5,66.91666666666667,69.25,72.33333333333333,71.0,63.0
1,Austin,,,,57.5,53.833333333333336,54.0,54.75,61.0,59.166666666666664
2,Baltimore,,,,74.75,72.83333333333333,75.58333333333333,73.0,66.83333333333333,62.833333333333336
3,Birmingham,,,,93.58333333333333,86.0,83.83333333333333,77.66666666666667,85.08333333333333,80.5
4,Boston,,,,65.91666666666667,61.5,61.416666666666664,60.583333333333336,54.5,48.166666666666664
5,Buffalo,,,,75.75,73.66666666666667,70.91666666666667,68.33333333333333,56.833333333333336,52.666666666666664
6,Charlotte,,,,82.58333333333333,81.91666666666667,69.5,62.583333333333336,60.0,58.0
7,Chicago,,,,81.91666666666667,74.58333333333333,75.75,79.08333333333333,75.08333333333333,70.75
8,Cincinnati,,,,85.91666666666667,81.16666666666667,76.91666666666667,71.08333333333333,65.41666666666667,63.25
9,Cleveland,,,,95.5,89.58333333333333,87.58333333333333,83.66666666666667,71.75,64.08333333333333
10,Columbus,,,,74.16666666666667,71.58333333333333,65.0,57.666666666666664,54.083333333333336,51.166666666666664
11,Dallas,,,,62.75,56.666666666666664,51.083333333333336,55.833333333333336,53.916666666666664,50.083333333333336
12,Denver,,,,51.083333333333336,55.083333333333336,46.5,45.833333333333336,48.25,42.333333333333336
13,Detroit,,,,59.916666666666664,61.25,64.41666666666667,65.0,60.333333333333336,57.75
14,Hartford,,,,90.66666666666667,91.25,94.58333333333333,91.16666666666667,83.91666666666667,71.16666666666667
15,Houston,,,,67.91666666666667,60.75,64.16666666666667,73.25,75.33333333333333,72.91666666666667
16,Jacksonville,,,,70.5,71.25,71.08333333333333,72.5,66.91666666666667,63.583333333333336
17,Kansas City,,,,,,,,,71.66666666666667
18,Las Vegas,,,,54.166666666666664,63.0,65.0,67.91666666666667,56.666666666666664,44.166666666666664
19,Los Angeles,,,,43.75,48.833333333333336,49.333333333333336,50.166666666666664,48.916666666666664,46.333333333333336
20,Louisville,,,,82.16666666666667,78.66666666666667,69.41666666666667,67.66666666666667,60.0,55.75
21,Memphis,,,,86.33333333333333,77.0,68.41666666666667,72.0,63.083333333333336,60.583333333333336
22,Miami,,,,60.166666666666664,66.41666666666667,62.75,77.0,92.41666666666667,88.91666666666667
23,Milwaukee,,,,83.83333333333333,78.08333333333333,72.33333333333333,63.833333333333336,59.25,53.5
24,Minneapolis,,,,57.666666666666664,58.666666666666664,60.916666666666664,58.75,56.166666666666664,48.583333333333336
25,Nashville,,,,76.75,67.41666666666667,54.833333333333336,51.416666666666664,53.583333333333336,54.583333333333336
26,New York,,,,91.0,85.16666666666667,82.83333333333333,84.0,78.0,72.91666666666667
27,Oklahoma City,,,,72.66666666666667,68.75,61.666666666666664,67.16666666666667,71.66666666666667,73.08333333333333
28,Orlando,,,,61.0,63.166666666666664,67.41666666666667,69.75,66.16666666666667,58.583333333333336
29,Philadelphia,,,,89.75,86.58333333333333,82.25,81.66666666666667,73.83333333333333,68.66666666666667
30,Phoenix,,,,54.416666666666664,66.25,63.083333333333336,60.5,55.0,49.333333333333336
31,Pittsburgh,,,,99.5,95.33333333333333,94.33333333333333,95.58333333333333,95.91666666666667,87.66666666666667
32,Portland,,,,65.0,64.66666666666667,55.75,52.833333333333336,53.916666666666664,53.916666666666664
33,Providence,,,,88.75,85.58333333333333,83.33333333333333,76.91666666666667,66.16666666666667,62.0
34,Raleigh,,,,72.66666666666667,69.25,61.25,57.583333333333336,61.166666666666664,58.166666666666664
35,Richmond,,,,69.33333333333333,70.08333333333333,71.66666666666667,66.83333333333333,64.83333333333333,60.5
36,Riverside,,,,57.166666666666664,59.75,64.0,67.16666666666667,63.5,57.916666666666664
37,Rochester,,,,72.0,70.58333333333333,65.58333333333333,63.0,59.416666666666664,59.25
38,Sacramento,,,,45.583333333333336,49.583333333333336,52.5,50.25,46.416666666666664,42.666666666666664
39,Salt Lake City,,,,54.333333333333336,56.333333333333336,50.25,43.916666666666664,41.833333333333336,36.916666666666664
40,San Antonio,,,,82.16666666666667,75.91666666666667,63.666666666666664,61.5,64.41666666666667,62.0
41,San Diego,,,,53.833333333333336,51.583333333333336,48.916666666666664,47.25,44.5,45.25
42,San Francisco,,,,30.666666666666668,31.916666666666668,29.416666666666668,31.25,28.166666666666668,25.25
43,San Jose,,,,,,,,,
44,Seattle,,,,52.416666666666664,55.833333333333336,49.5,41.916666666666664,38.75,37.666666666666664
45,St. Louis,,,,84.58333333333333,84.66666666666667,79.75,78.25,71.0,69.75
46,Tampa,,,,72.66666666666667,71.91666666666667,68.0,63.833333333333336,60.083333333333336,55.75
47,Virginia Beach,,,,85.25,88.91666666666667,91.33333333333333,89.75,79.91666666666667,75.08333333333333
48,Washington,,,,54.0,58.083333333333336,61.75,61.333333333333336,57.75,53.333333333333336
49,Indianapolis,,,,,,,,,
