,Metro name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,Atlanta,137.3333333,128.4583333,102.9166667,91.25,86.41666667,83.16666667,83.58333333,75.875,67.16666667,67.75
1,Austin,111.0833333,113.7916667,93.75,74.625,71.58333333,63.29166667,66.16666667,64.33333333,65.33333333,60
2,Baltimore,149.9166667,144.75,134.25,117.3333333,114.375,115.5833333,113.5833333,100.9166667,90.5,88.875
3,Birmingham,150.6666667,136.75,129.0833333,126.125,118.75,109.4583333,97.75,93,80.70833333,74.1875
4,Boston,119.125,117.1666667,110.0833333,94.41666667,85.33333333,84,82.41666667,76.91666667,70.41666667,73.625
5,Buffalo,126.5833333,133.2083333,146.5833333,130,115.3333333,113,108.0416667,96.54166667,90.70833333,91.3125
6,Charlotte,139.5833333,150.625,125.5833333,103.875,102.5,95.375,85.66666667,70.41666667,63,65.375
7,Chicago,155.8333333,144.6666667,130.6666667,116.3333333,108.8333333,112.75,108.3333333,97.41666667,92,92
8,Cincinnati,121.4166667,123.9583333,120.6666667,113.1666667,106.25,102.0416667,90.75,78.04166667,69.5,67.875
9,Cleveland,125.5416667,131.4166667,127.4166667,113.7916667,108.25,105.875,99.875,84.5,75.91666667,74.9375
10,Columbus,118.7916667,120.4166667,113.625,96.5,89.41666667,85.08333333,79.25,67.66666667,61.29166667,62.625
11,Dallas,108.9166667,118.0833333,95.25,75,64.5,59.91666667,60.16666667,56.58333333,58.66666667,62.5
12,Denver,113.5,109.0833333,84.625,68.33333333,61.08333333,57.25,59.91666667,53.83333333,50.5,55
13,Detroit,116.1666667,111.25,108.8333333,100.0416667,97.91666667,97.83333333,92.58333333,79.5,73.54166667,75.25
14,Hartford,124.2083333,131.4166667,136.3333333,122.0416667,121.25,125.8333333,125.7916667,106.25,94.41666667,92.875
15,Houston,114.4166667,123.5,109.2916667,84.45833333,72.25,70.25,80.08333333,82.16666667,76.83333333,78.625
16,Indianapolis,129.0833333,136.1666667,126.5416667,105,103.9166667,99.45833333,92.16666667,75.66666667,65.16666667,65.875
