,Metro name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
0,Atlanta,1620.5,1598.7,1630.1,1713.5,1805.8,1890.5,1981.9,2047.9,2139,2238.3,2299.5,2310.4,2268.2,2245.2,2275.4,2344.9,2411.1,2460.2,2433.4,2296.9,2276,2311.7,2354.2,2414.3,2503.2,2582.2,2664.8,2727.5,2785.9
1,Austin,396,408.8,430.8,461,492,524.9,549.7,575.6,610.5,645.9,684,685.3,669.3,663.9,679,704.7,736.4,772.1,791.1,774.3,785.5,811.9,844.4,884.1,923,963.3,1000.9,1034.7,1069.1
2,Baltimore,1144.8,1102.6,1087.5,1093.6,1111.1,1126.6,1136.9,1165,1189.7,1220.7,1248.3,1256.4,1250.3,1250.8,1263.8,1285.2,1304.3,1316.1,1312.4,1272,1272.8,1293.9,1314.8,1332.9,1342.9,1366.2,1385.5,1399.5,1414.4
3,Birmingham,431.2,432.6,439.5,449.6,462.1,476.5,485.1,497.6,507.4,515.8,519.7,519,512.5,509.6,515.1,523.1,532.8,537.6,533.7,504.4,496.6,498.5,506.9,512.4,516.2,521.9,526.5,531.6,538.5
4,Boston,2236.7,2134.5,2114.3,2152.3,2200.6,2256.8,2303.1,2360.6,2412.4,2453.9,2521.1,2521,2453.5,2402.5,2399.9,2419.1,2446.9,2482.5,2497.4,2420.1,2431.2,2462,2505.4,2550.1,2597.3,2652.9,2704.7,2741.1,2769.9
5,Buffalo,545.9,531.3,526.1,525,532.2,537.1,537,541.9,543,551.9,556.6,547.7,545.3,542.9,545.3,544,543.3,544.6,549.1,535,535,540.1,543.1,546.1,549.9,554.3,558.7,562.1,564.1
6,Charlotte,685.5,675.6,687.7,716.2,748.9,776.3,801.6,829.5,868.1,902.6,930.5,925.5,919.3,915.2,924.4,947.6,989.1,1023.1,1020.6,957.9,954.2,976.5,1004.1,1029.3,1066.4,1108.8,1147.9,1177.7,1206.1
7,Chicago,4009.9,3955,3958,4032.8,4121.1,4224.6,4290.3,4368.2,4458.5,4512.5,4570,4542.7,4451.2,4411.8,4413.4,4460.5,4518.5,4556.1,4527.9,4290,4244.5,4304.8,4376.2,4444.4,4510.9,4596.4,4660.5,4700.6,4745.4
8,Cincinnati,862.7,861,862.6,870.8,895.9,917.1,937.4,962.9,984.5,1002.7,1014.5,1008.6,1005.7,1013.2,1022.5,1030.8,1034,1043.8,1041.3,991.4,981.7,992.3,1008.7,1024.8,1042,1061,1080,1094.8,1108.4
9,Cleveland,1028.4,1010.1,1004.5,1010.7,1036.4,1061.1,1077,1098.7,1114.8,1128.5,1135.9,1117.4,1082.2,1074.1,1072,1072.1,1074.9,1072.2,1058.4,1000.7,990.9,1001.1,1019.5,1029.6,1036.6,1045.4,1055.3,1058.7,1067.4
10,Columbus,744.7,741.6,751.9,767.9,796.1,823.9,838.9,860.4,881.6,908.9,933.7,938.1,931.3,928.1,934,941,949.9,960.8,957.2,922.8,920.3,941.4,968,991.6,1016.6,1040.6,1064.3,1085.4,1099.5
11,Dallas,2025.7,2030.5,2042.3,2103.6,2185.6,2275.8,2370.3,2494.4,2613.3,2710.7,2814.2,2825.6,2754.6,2715.6,2751,2822.8,2917.1,3003.7,3042.6,2929.9,2929.4,3003.1,3082.3,3172.1,3284.3,3400.2,3503.6,3596.4,3683.2
