,Metro name,2010,2011,2012,2013,2014,2015,2016,2017,2018
0,Atlanta,-0.003,0.692,0.042,-0.133,-0.047,-0.118,0.006,0,0.007
1,Austin,-0.177,-0.025,0.009,0.159,0.002,0.035,0.012,-0.039,-0.164
2,Baltimore,-0.173,-0.125,0.192,0.107,0.121,0.023,0.293,0.009,-0.056
3,Birmingham,,,,,0.01,-0.016,0.142,0.012,-0.064
4,Boston,-0.217,-0.122,0.129,-0.268,0.703,0.143,-0.063,0.054,-0.062
5,Buffalo,,,,,,0.179,0.051,-0.04,-0.028
6,Charlotte,-0.177,-0.04,0.197,0.1,0.051,-0.172,0.448,0.024,-0.121
7,Chicago,-0.288,-0.004,-0.075,0.272,0.013,0.18,0.05,-0.093,-0.099
8,Cincinnati,-0.251,-0.004,0.033,0.127,-0.079,-0.033,0.276,0.108,-0.064
9,Cleveland,-0.266,-0.013,0.111,0.044,0.025,0.224,0.061,0.004,-0.017
10,Columbus,-0.216,-0.089,0.045,-0.01,0.151,-0.119,0.197,0.074,-0.029
11,Dallas,-0.198,-0.044,0.144,0.021,0.097,0.057,-0.006,-0.016,-0.13
12,Denver,-0.272,0.032,0.162,-0.059,0.106,0.039,-0.007,-0.129,-0.168
13,Detroit,-0.122,0.032,0.234,-0.056,0.033,-0.122,-0.206,-0.013,-0.02
14,Hartford,-0.401,-0.21,0.686,-0.015,0.013,0.085,-0.049,-0.081,-0.128
15,Houston,-0.145,-0.022,0.151,0.19,0.097,-0.065,0.138,0.022,-0.048
16,Indianapolis,-0.227,-0.034,-0.267,0.038,0.359,0.107,-0.035,0.247,-0.131
17,Jacksonville,-0.124,-0.004,0.464,0.165,0.17,0.049,-0.067,0.123,-0.012
18,Kansas City,-0.229,-0.03,-0.03,-0.035,0.078,0.048,0.14,0.069,-0.055
19,Las Vegas,-0.151,0.049,-0.227,-0.053,-0.03,0.094,0.172,-0.011,-0.114
20,Los Angeles,-0.139,-0.047,0.163,-0.075,-0.017,0.035,0.115,-0.119,-0.159
21,Louisville,,,,,0.01,-0.318,0.712,-0.032,-0.167
22,Memphis,-0.221,-0.065,-0.085,0.19,0.038,-0.044,0.241,0,0.036
23,Miami,0.03,-0.059,0.093,0.031,0.065,-0.021,-0.056,-0.026,-0.035
24,Milwaukee,-0.345,-0.085,-0.152,0.143,-0.043,0.017,0.138,-0.005,-0.001
25,Minneapolis,-0.35,0.092,0.058,0.046,0.004,0.081,0.034,0.015,0.034
26,Nashville,-0.203,0.002,0.069,0.028,0.132,0.016,0.072,-0.027,-0.048
27,New York,,-0.178,0.099,0.187,0.039,0.226,0.147,0.101,-0.058
28,Oklahoma City,-0.174,0.085,0.205,0.05,0.191,-0.44,0.436,-0.027,0.096
29,Orlando,-0.1,-0.154,0.179,-0.011,0.18,0.028,0.004,-0.003,0.161
30,Philadelphia,-0.252,0.013,0.146,0.013,0.105,0.114,0.121,0.142,-0.009
31,Phoenix,-0.045,-0.031,0.165,-0.15,-0.026,0.025,0.08,0.003,-0.023
32,Pittsburgh,-0.207,-0.056,0.14,0.056,0.014,0.125,0.074,-0.03,-0.057
33,Portland,-0.193,-0.034,0.118,0.054,0.121,0.169,0.013,-0.105,-0.154
34,Providence,,,,,,,,,-0.076
35,Raleigh,-0.211,-0.143,0.06,0.074,0.033,-0.076,0.234,-0.043,-0.056
36,Richmond,-0.131,-0.028,0.007,0.021,0.033,0.113,0.103,0.03,0.006
37,Riverside,-0.153,-0.071,-0.031,-0.081,-0.046,0.062,0.147,-0.059,-0.089
38,Rochester,,-0.021,0.069,0.056,0.09,0.114,-0.008,0.033,-0.1
39,Sacramento,-0.127,-0.009,-0.039,-0.11,-0.053,0.09,0.043,-0.013,-0.181
40,Salt Lake City,,,,,0.031,0.044,0.129,-0.019,-0.087
41,San Antonio,-0.123,-0.06,0.092,0.097,0.04,0.016,0.087,-0.041,0.065
42,San Diego,-0.19,-0.019,0.119,-0.105,-0.035,0.03,0.074,-0.06,-0.151
43,San Francisco,-0.142,-0.085,0.006,-0.103,0.078,0.047,-0.018,-0.079,-0.15
44,San Jose,-0.16,-0.172,0.063,-0.113,-0.062,0.021,-0.028,-0.037,-0.157
45,Seattle,-0.162,-0.001,0.047,0.003,0.028,0.041,0.085,-0.062,-0.175
46,St. Louis,-0.224,-0.024,0.161,-0.098,0.059,0.156,0.148,0.06,-0.058
47,Tampa,-0.023,-0.104,0.266,0.018,0.188,0.073,0.019,-0.039,0.009
48,Virginia Beach,-0.217,-0.054,0.003,-0.081,0.235,0.042,0.079,0.005,0.013
49,Washington,-0.125,-0.056,0.09,-0.003,0.115,0.12,0.174,-0.082,-0.063
