,Metro name,2010,2011,2012,2013,2014,2015,2016,2017,2018
0,Atlanta,7082.25,9094.75,14673.333333333334,14601.083333333334,13380.083333333334,11885.0,13766.916666666666,11192.916666666666,11697.916666666666
1,Austin,1842.9166666666667,1798.5833333333333,2075.0,2480.0833333333335,2473.4166666666665,2544.5,2749.8333333333335,2776.25,2909.25
2,Baltimore,2263.4166666666665,1763.6666666666667,2187.6666666666665,2712.0833333333335,2679.25,3088.25,3668.8333333333335,4160.583333333333,4131.083333333333
3,Birmingham,,,,1309.2727272727273,1432.75,1521.6666666666667,1712.8333333333333,1866.25,1864.75
4,Boston,3516.5833333333335,3306.25,2917.9166666666665,2550.6666666666665,3744.9166666666665,4273.5,4533.5,4854.166666666667,4702.666666666667
5,Buffalo,,,,,975.6666666666666,1100.8333333333333,1213.8333333333333,1251.6666666666667,1230.25
6,Charlotte,2283.1666666666665,2117.3333333333335,2404.8333333333335,3016.5833333333335,3183.75,3453.5833333333335,3844.9166666666665,4746.5,4506.416666666667
7,Chicago,9442.75,8516.416666666666,9406.916666666666,10834.75,12444.416666666666,14027.333333333334,15734.833333333334,15767.916666666666,14439.916666666666
8,Cincinnati,2092.3333333333335,1925.1666666666667,2036.8333333333333,2666.0833333333335,2360.6666666666665,2703.1666666666665,2799.3333333333335,3275.75,3456.5
9,Cleveland,1805.6666666666667,1747.3333333333333,1962.5,2214.25,2112.8333333333335,2424.9166666666665,2845.0833333333335,2978.9166666666665,2958.8333333333335
10,Columbus,1984.0,1915.1666666666667,1858.25,2421.5833333333335,2363.0,2642.0,2813.5,3067.5,3155.1666666666665
11,Dallas,6384.833333333333,6120.333333333333,6896.666666666667,8302.666666666666,8605.0,9184.666666666666,9860.0,9873.333333333334,10001.25
12,Denver,3204.4166666666665,3144.9166666666665,3837.5833333333335,4664.75,4752.916666666667,5059.583333333333,4982.25,5095.416666666667,4791.833333333333
13,Detroit,6505.166666666667,6578.5,7293.0,7896.0,6969.416666666667,7294.916666666667,7115.5,7288.416666666667,7626.916666666667
14,Hartford,831.9166666666666,680.0833333333334,702.4166666666666,899.4166666666666,933.0833333333334,1050.0833333333333,1109.4166666666667,1231.5833333333333,1188.8333333333333
15,Houston,5554.916666666667,5599.666666666667,5655.583333333333,7318.25,7573.0,7890.5,8136.166666666667,8962.416666666666,9533.0
16,Indianapolis,2331.8333333333335,2138.3333333333335,2209.8333333333335,1750.75,3464.3333333333335,3159.8333333333335,3452.9166666666665,3621.75,3838.5833333333335
17,Jacksonville,1331.9166666666667,1322.6666666666667,1750.25,2441.0833333333335,2876.75,3318.75,3256.5,3301.3333333333335,3514.9166666666665
18,Kansas City,2154.1666666666665,1987.1666666666667,2112.4166666666665,2366.8333333333335,2435.0833333333335,2744.5,3077.1666666666665,3399.75,3536.3333333333335
19,Las Vegas,3784.0833333333335,4141.583333333333,3907.3333333333335,3502.5833333333335,3355.5,3519.25,3949.25,4322.666666666667,4301.416666666667
20,Los Angeles,8643.0,8312.416666666666,9272.75,10033.333333333334,9540.583333333334,10154.083333333334,10492.0,11259.416666666666,9824.666666666666
21,Louisville,,,,1472.0,1528.25,1497.25,1813.25,2139.9166666666665,2075.1666666666665
22,Memphis,1328.9166666666667,1171.75,1279.0,1385.75,1508.25,1555.0833333333333,1643.3333333333333,1838.1666666666667,1913.6666666666667
23,Miami,7493.833333333333,8624.166666666666,8860.666666666666,10460.0,10673.5,11157.25,10343.083333333334,10366.416666666666,10683.166666666666
24,Milwaukee,1160.8333333333333,1104.5833333333333,1272.9166666666667,1436.1666666666667,1515.25,1545.0833333333333,1819.0,1819.8333333333333,1858.6666666666667
25,Minneapolis,3512.4166666666665,3452.5833333333335,4074.25,4730.416666666667,4648.083333333333,5470.25,6017.083333333333,5908.75,5745.083333333333
26,Nashville,1924.6666666666667,1797.6666666666667,2175.4166666666665,2471.4166666666665,2743.3333333333335,3015.25,3134.3333333333335,3239.0,3247.25
27,New York,9374.0,10052.833333333334,8953.583333333334,11015.25,11338.083333333334,12971.25,15275.583333333334,18772.666666666668,19456.25
28,Oklahoma City,1054.0,1044.75,1282.6666666666667,1537.5833333333333,1602.75,1350.0,1743.75,1923.9166666666667,1901.3333333333333
29,Orlando,2970.6666666666665,2858.1666666666665,2807.6666666666665,3299.5833333333335,3512.9166666666665,4068.5,4043.6666666666665,4044.6666666666665,4628.083333333333
30,Philadelphia,4747.333333333333,4234.25,4803.916666666667,5694.083333333333,5495.333333333333,6596.666666666667,7330.5,8422.416666666666,8963.083333333334
31,Phoenix,8493.083333333334,9331.0,11123.0,11495.666666666666,10217.0,10511.166666666666,10731.666666666666,11247.916666666666,11526.833333333334
32,Pittsburgh,2054.5833333333335,2003.1666666666667,2144.0,2398.5833333333335,2421.0,2723.25,2940.4166666666665,3054.3333333333335,3234.0833333333335
33,Portland,2035.5,1988.1666666666667,2242.4166666666665,2680.75,2870.8333333333335,3512.75,3616.8333333333335,3496.6666666666665,3327.5
34,Providence,,,,,,,,1657.857142857143,1698.1666666666667
35,Raleigh,1192.4166666666667,1115.4166666666667,1227.0,1585.25,1652.5833333333333,1630.25,1808.4166666666667,2008.5833333333333,2063.5
36,Richmond,924.5,947.0833333333334,1073.6666666666667,1201.8333333333333,1242.0,1404.6666666666667,1588.1666666666667,1725.5833333333333,1869.1666666666667
37,Riverside,5785.666666666667,5459.333333333333,5407.333333333333,5551.916666666667,5195.25,5420.083333333333,5726.0,6274.5,5807.75
38,Rochester,742.75,829.8333333333334,899.75,984.4166666666666,1023.5,1066.0,1241.8333333333333,1289.6666666666667,1330.0
39,Sacramento,2579.5833333333335,2746.25,2887.9166666666665,2962.4166666666665,2797.0833333333335,3053.1666666666665,3196.9166666666665,3145.5,3083.3333333333335
40,Salt Lake City,,,,1374.3333333333333,1415.8333333333333,1644.5833333333333,1861.25,1851.8333333333333,1831.4166666666667
41,San Antonio,2015.5,1901.6666666666667,2102.5833333333335,2488.5,2631.6666666666665,2846.1666666666665,3044.8333333333335,3139.8333333333335,3335.3333333333335
42,San Diego,2827.5833333333335,2709.0833333333335,3039.3333333333335,3383.5,3113.5833333333335,3392.3333333333335,3490.1666666666665,3469.9166666666665,3248.5833333333335
43,San Francisco,3885.75,3987.9166666666665,4400.5,4590.666666666667,4810.25,5278.583333333333,5256.333333333333,5394.416666666667,5081.833333333333
44,San Jose,1417.5833333333333,1366.5,1515.1666666666667,1559.9166666666667,1462.4166666666667,1495.3333333333333,1487.0833333333333,1583.8333333333333,1542.3333333333333
45,Seattle,2979.6666666666665,3234.0,3609.9166666666665,4399.583333333333,4545.833333333333,5185.916666666667,5591.416666666667,5881.083333333333,5381.333333333333
46,St. Louis,2978.5,2679.0,2989.5,3471.5833333333335,3308.0833333333335,3876.1666666666665,4545.833333333333,4871.25,5052.5
47,Tampa,3027.0,3422.4166666666665,3565.3333333333335,4615.0,4960.25,5751.833333333333,5900.25,6109.75,6268.916666666667
48,Virginia Beach,1355.25,1377.6666666666667,1485.3333333333333,1654.9166666666667,1685.75,1897.5,2188.25,2262.0,2336.75
49,Washington,5190.666666666667,4988.0,5353.75,6204.75,6171.25,6962.666666666667,7945.333333333333,8478.166666666666,8121.666666666667
