,Metro name,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,Atlanta,28.30548312,28.36799777,29.33869325,31.58573459,35.38152744,39.67845921,42.6174164,45.19003137,47.20555952,50.09422628,52.87764999,56.57928636,60.15511192,62.88608086,64.4013078,64.66573351,64.19807877,64.93888159,66.31064587,68.53708793,71.32358438,74.65898685,78.44094003,83.88462805,90.82697044,97.65547512,102.8288751,107.2408462,110.3204207,113.9901091,119.494349,124.7360856,125.6478998,114.4177083,101.1185811,94.06078804,86.04214314,88.29430835,101.9207564,112.8886453,121.5792787,131.6996428,142.3845489,156.1119286,163.1793026
1,Austin,24.27058744,25.41738458,27.57834035,31.74927431,36.45157648,40.51964674,43.62261511,48.19175235,52.52254354,58.80621241,64.17991734,63.99443237,58.29906389,50.69374149,47.66862552,46.97146557,50.09108549,55.17431209,61.13236637,66.10138969,68.28991262,70.90295302,72.09166347,75.67018999,82.77759362,94.8550485,101.5538978,102.0563512,101.7594281,103.9046304,110.2364171,120.6572558,130.9326973,133.2117319,130.2462778,129.7118824,128.7566208,135.7312363,150.9085416,168.0376777,183.2083927,197.6686107,211.0801215,222.6654827,234.309019
2,Baltimore,27.04106179,29.4967395,32.23958369,35.3064772,38.83068948,42.30183266,46.11686114,46.88843535,47.97836075,50.7823419,53.66114925,58.31895275,65.34430573,71.99447548,77.57902168,80.95323267,81.37711955,82.53769493,82.41928734,83.51215992,83.76027741,84.40842217,85.14151734,87.01674746,91.46965575,97.15596056,104.6995751,116.5789945,134.1912549,158.2110505,188.5605706,203.9269788,203.5181677,188.1626039,173.0441879,166.8480612,159.5860671,160.0528513,167.9164522,170.9872095,172.6526563,177.3353136,185.3331245,191.9944997,194.1645387
3,Birmingham,33.98889209,36.6287921,38.75922652,42.58593258,46.55813354,48.11482285,48.33274274,48.49129584,50.25357973,53.43487557,54.76225382,58.11591527,60.97974385,62.80597997,64.70072211,66.43275263,68.11765058,70.59052837,73.80117232,77.79071447,81.62520418,85.12500766,87.99873107,91.03342969,95.07683013,98.79598528,101.5769459,105.7226862,110.3815572,117.0017875,124.8954454,132.8085917,134.0992146,129.935095,123.0783756,117.01231,111.6365335,112.6931503,118.5005055,123.8482036,128.4300659,134.4921174,141.3538725,149.8440618,156.885132
4,Boston,14.89293273,15.38522651,16.34169359,18.08393632,21.16079354,23.35759624,25.88224081,27.16288439,30.19424738,36.49454044,46.67099729,58.44210371,66.07162428,68.14391544,68.14229131,65.35734896,60.40340629,58.97050736,57.37546323,58.93950857,60.36735296,62.70112262,66.22469601,72.62144713,81.46201017,93.7380735,106.4103251,119.0603888,130.7951425,142.2745401,150.4706688,147.4075901,141.6023477,133.6702844,128.5731381,129.0938571,125.6212514,125.4234168,134.3446735,142.27559,149.1985326,158.0619655,169.4385852,179.8800915,185.3526718
5,Buffalo,35.514157,38.87179134,41.60632562,45.20271577,48.61796546,50.1572437,52.35048596,51.5439706,52.78007464,55.82188112,58.71321661,62.5890165,69.56200103,77.20752467,85.34218442,91.07785874,93.1841054,95.61396273,96.53210065,97.5875569,96.73311793,96.88823941,95.4488799,94.2284251,96.02913912,98.72342364,101.6220358,105.9542485,111.6425377,117.7211323,123.0939702,126.5054604,128.5866509,131.1838717,131.687728,135.0538967,133.8488007,135.0597458,141.0691064,145.6414049,149.9273976,157.4851435,167.8286374,178.2531599,186.1325306
6,Charlotte,27.90558823,28.47967864,30.12072797,33.4608167,38.199062,41.65985273,43.1643353,44.51367628,45.76623613,48.83417733,51.6637791,54.54593924,58.75683907,62.15133746,65.17104438,67.08923091,68.23511504,69.62659507,70.93558985,73.5500223,77.05535158,81.78213395,86.46612828,90.33309828,94.55317003,98.73831462,100.8504164,102.8935813,104.7430403,107.8179016,113.5132134,122.4057438,130.1536141,128.7142664,120.5895051,113.0196309,107.737227,109.4570196,117.3819209,123.9882445,132.8158667,143.0987049,155.7042569,169.3475144,179.0162001
7,Chicago,23.71925242,26.1928452,29.49261642,33.95622238,36.53069731,37.03916795,38.82108457,37.60065988,39.16268031,41.15450079,42.93156762,46.2472248,51.24015577,56.34026339,61.30194452,64.9745386,67.16346612,69.85504134,72.49560117,74.97493659,77.00372251,79.24709853,81.30105116,84.32711084,89.44591032,96.56110562,104.0542308,112.2446313,121.3566603,131.4149003,142.664716,150.4529764,149.4816832,136.8448728,121.7538775,114.7615336,105.8681411,102.7163566,109.5429351,116.5636326,120.3314021,125.8568465,132.1720005,137.1702552,139.4376932
8,Cincinnati,29.62721244,31.71287181,35.22761968,39.89914801,44.5768744,46.77718438,47.41861995,46.48731114,48.80016626,49.80669548,50.6463301,53.38956733,57.0864349,60.86437317,63.90866764,66.53186741,68.58569643,71.63956026,74.9152174,78.00065775,80.32745648,83.07272899,85.80526551,89.13621954,93.78145039,98.69560424,101.6459023,105.5023064,108.9470424,112.6339365,115.7016758,117.3271293,115.3445696,110.0884787,106.9721582,105.0968286,99.84972896,100.2755993,103.5286024,108.5994011,112.3150905,118.192603,125.2939419,133.7186568,140.6554349
9,Cleveland,29.53105899,32.4830015,37.16271235,41.87643456,45.52341628,46.18184384,46.0482503,44.51148271,47.29881028,48.15912558,49.04333925,51.5612857,55.23635417,58.17216592,62.1113881,66.14459342,69.07040722,72.61038408,75.82709561,79.00152847,82.30285761,85.94821973,88.2989876,91.25728243,94.99141365,99.08797643,101.3975853,104.5965649,107.9933998,110.9217982,112.889434,112.046543,107.4441563,98.77754835,94.21694817,92.48841572,88.21640659,88.09186186,91.58073669,95.55588227,98.74913928,102.9463802,108.4781324,114.7266273,119.2390063
10,Columbus,28.89401577,30.81901155,33.05819678,37.03185071,40.9660702,43.6770427,46.3263622,45.8154037,47.66657197,48.90177557,49.91857049,52.86842922,56.53848573,60.47889769,63.3805091,65.89340187,67.839032,70.5980475,73.75595765,77.39290871,80.68910053,84.2247585,86.84300149,89.96741805,93.93276889,98.50268498,101.9213431,106.1428666,110.0653335,114.1999479,117.1832013,118.1970133,116.465209,111.9310796,108.9985735,107.0452601,103.0939237,105.0302404,110.7837345,117.0373528,122.6523791,131.4291403,141.2419718,151.3733089,159.5969709
11,Dallas,32.18144086,33.7817234,36.90391025,42.70661792,51.3510075,59.40321015,63.5341586,67.76996462,71.32384965,76.07507324,79.1896472,79.97444113,76.58264012,72.62102423,70.93119337,70.85255265,71.13028073,71.96745975,73.16398961,74.68572578,76.37239277,78.82221533,81.35337288,85.89475336,91.35524375,97.36485688,102.7733901,106.6671158,108.9421678,111.3017827,114.870118,119.0303207,121.614268,120.1237828,118.8540175,118.3796243,115.8565774,119.9961305,129.7277708,140.7305986,154.5374084,170.3218319,187.4107609,199.5666768,205.0713022
12,Denver,19.08222365,20.7312518,23.45288904,28.38675736,33.24771608,36.95002571,39.21433582,42.25150933,43.94684312,44.59119529,44.48680895,45.1091835,44.2291111,42.56572986,42.13079628,42.70453037,44.0143502,47.70679977,52.36498663,57.61984751,61.66568127,65.38543722,69.67142535,75.067361,83.83530018,95.05979948,103.7158555,107.8521669,109.50222,112.7098773,116.3499353,117.8547564,115.4860982,109.5975761,109.7117226,109.6183841,106.9385222,113.8039408,127.4084641,140.1618006,157.4330253,174.7422486,191.9316131,207.1886758,214.0974055
13,Detroit,22.84297256,23.53820981,25.42022425,29.65185205,35.01993186,36.53586291,36.84443008,34.01597485,34.27634024,34.97550293,36.62501321,40.35092568,45.33882554,48.9847036,52.24778811,55.08377601,56.57370012,58.69637487,62.25144753,63.47028394,67.993597,73.88121908,79.49917448,84.93321844,91.02822613,97.76062299,101.903229,105.9611735,108.5154183,111.023229,111.8240144,107.3037973,96.27454239,78.926579,66.22556655,64.81939469,63.94910566,68.63024999,79.86426045,88.11934078,93.44582819,99.68027613,107.8842276,115.7407537,119.9369971
14,Hartford,27.51171335,29.4683505,30.66040974,35.08710253,40.95594208,43.00951254,45.60535854,45.89898731,48.59311453,53.28947092,60.29646275,71.75558407,92.66291042,105.7812884,104.695026,99.63471325,93.06328523,89.24424867,83.83583478,82.31533139,81.39191041,80.5723029,80.8682222,83.29328233,89.24286432,96.89551676,103.8666158,114.1268234,124.4876375,136.0047263,148.4999395,154.2602512,154.2864687,148.0950105,141.0392608,138.6211654,133.5978959,130.4647751,131.5191361,131.6992943,131.5448645,131.4155389,134.8400317,137.613161,138.8763247
15,Houston,34.74453089,39.11454464,44.15750604,50.47407862,57.42786698,62.86149292,67.59740626,74.05127111,74.47307732,73.05096901,68.68313677,64.56920435,59.39886199,58.62514016,62.92758961,65.85636706,68.16774089,70.32724914,71.49533201,72.67118536,73.24308997,75.12370864,77.81352774,83.19031259,90.28222047,97.17496157,103.0408367,107.8504962,111.7099453,115.2385393,119.7540868,126.6211042,131.8529498,131.3818381,130.4068842,130.5958562,128.4295484,134.2691267,147.2482723,163.9575935,176.6059564,183.4194178,190.6723196,199.6754883,203.4057838
16,Indianapolis,30.71054736,32.32053151,34.85257823,39.54981303,44.24585189,47.04570915,49.1203964,47.71505719,49.0612338,50.90210109,52.89283903,55.71508417,59.53059563,63.38244884,66.31511334,68.98573762,71.67071295,74.85367354,77.7457815,80.63678953,83.18177214,86.44633874,88.61113559,91.2526989,94.96877727,99.11468204,101.1526536,104.0695504,105.4182388,107.4911877,109.7488933,111.1899047,110.6055218,106.4654865,103.7817146,103.7005763,102.1269717,103.0940665,108.2611626,112.9537515,117.4146599,123.4548483,131.2435886,142.3104534,150.7159291
17,Jacksonville,32.14466606,33.04737311,33.65205719,36.91129685,39.58315174,43.10118182,46.65266415,51.73202106,53.33162212,57.5398713,59.60602416,61.80488567,64.03169331,66.07098988,67.43503675,67.64175948,67.60623098,68.6737127,69.93224102,71.96955753,74.01929747,76.63789187,79.92751894,84.47532532,89.9344916,96.66334435,104.1669508,113.3617235,124.6905494,141.083645,168.8115734,189.8073898,187.5378048,161.407434,137.9972949,125.7171399,116.8669461,118.5023146,129.1443698,137.8874346,148.7936675,162.4103379,176.7743049,191.6132576,201.2034004
18,Kansas City,32.13317443,33.55527219,37.29279908,42.70037221,47.78527463,51.54530459,52.45753898,52.79089757,53.51188314,54.56154928,56.6585002,59.13080571,61.94876628,63.22136043,64.01544568,64.01325453,64.38858138,65.70981339,68.0326395,70.93212387,73.92770374,77.72391571,81.49369266,86.25516909,92.396168,98.20066951,102.9204939,107.9623372,112.6993655,117.2013628,121.1501522,124.1031518,123.5419776,116.7645082,112.8764861,109.7470759,104.5539526,106.3998533,111.9208606,117.7958867,124.464072,133.6580561,143.8659827,154.8311969,163.1034285
19,Las Vegas,30.22751695,32.65545356,34.88720298,41.18752414,49.48648214,55.63817945,61.72187579,65.15705015,63.89387337,61.83105044,61.55327962,63.72347299,65.34382436,67.39837096,71.00268845,77.44572456,81.2932115,82.12102092,81.85889393,83.86098907,85.71005102,87.45501741,88.82931197,90.40862309,93.3808311,97.87351053,103.3371697,109.7306404,121.8718263,166.9549817,200.1856842,212.1733749,196.2896429,138.5150887,95.3630899,88.92415411,80.90056392,84.72447098,108.1757648,123.7606196,134.0331086,145.2103347,161.0107341,186.1982377,194.9360437
20,Los Angeles,16.94671759,20.06416378,25.40782971,30.03782833,35.22537873,41.05569451,45.13637419,45.64247729,46.62315981,47.85688984,49.9812655,53.57665628,60.06331714,72.09320321,88.64704861,93.11845107,89.22227429,86.05816518,78.418054,73.41144001,71.17088684,70.39042598,71.75279546,79.02814313,86.72064946,95.43532233,106.1711729,123.0370655,147.2127562,184.2075429,219.6139002,239.1412124,229.6341819,183.9680261,164.1082717,166.8918624,158.5649599,161.2683676,188.724577,206.9801572,219.9005333,235.5016413,252.6318383,268.8368863,274.488254
21,Louisville,28.90989963,30.20175527,32.95662563,36.65143656,40.99169014,42.7704852,41.86486372,43.17413103,45.20007211,46.00907676,47.68655633,49.87393847,52.82133184,56.04021103,59.10738513,61.64999194,63.85978319,67.16793327,70.43374559,75.05471846,78.68877955,82.48637696,86.23276956,89.76123632,94.09919643,98.74323139,101.8395934,105.7525626,109.679147,113.9692715,118.1432028,121.9006273,123.1743318,121.8957098,118.6069409,117.4904871,114.6169734,115.6484293,119.5325434,123.7269761,129.311126,136.3625437,144.908278,152.691374,158.2677715
22,Memphis,33.2227086,34.44079946,36.53782423,41.60706726,45.86859027,50.09752148,52.88748604,53.51486174,54.70667701,53.654951,60.37047647,64.27778992,67.44036401,69.40761633,71.02497353,71.57532136,71.95946425,72.81301879,73.71123003,76.70101515,80.31046275,84.45024815,88.04793823,91.95676915,97.21677805,100.0114148,101.0771413,103.4090004,106.0838369,109.3739707,113.5547588,118.2038679,119.0670244,111.9697011,105.4076218,102.5539521,99.12711335,99.76776606,104.7046379,109.4481877,113.5535741,118.7795571,126.6998091,134.0924982,142.0345312
23,Miami,33.63222341,33.35223869,33.84887227,36.94948653,43.29273412,51.21966612,55.76933738,58.75140954,58.64070219,58.64647553,57.74856559,59.54511904,61.94894249,65.76186266,68.96142728,70.39179832,70.60418552,71.53567046,73.48843989,76.28175728,78.18723119,79.81717412,81.52215402,84.23540507,88.16441442,95.53747606,107.4839403,123.676831,143.2419065,172.2203253,219.1663043,243.3973157,231.6889529,177.1457791,139.675612,134.6861239,127.8499099,137.2164078,158.3689576,174.9472447,190.7822905,208.5758979,225.1791209,240.2151222,247.5224648
24,Milwaukee,28.11328561,30.39365115,35.55456425,40.80384764,43.67622308,45.07242125,44.31359886,42.32636292,45.23437011,46.0835122,46.73480959,48.36955934,50.70629229,53.64110049,57.14454406,60.82539517,63.33345212,67.34553326,72.46057251,76.77660279,79.18567693,81.65195298,83.858986,87.49728205,92.04740926,97.98153985,103.3617949,110.1926361,119.1702745,128.627685,137.0505997,141.4398985,141.1813124,135.2131442,127.4581611,122.9202044,115.3379945,112.7044901,117.6195455,122.377752,126.3380104,132.7446151,139.7201675,148.0336128,154.9974557
25,Minneapolis,25.1700219,26.13220182,29.01982823,34.02289763,38.82548397,42.07100437,43.94042796,45.70029714,46.59338489,47.01103247,47.36781277,49.37796976,52.16322247,53.92532736,55.58199125,56.57081071,57.12446248,58.74920539,61.13325044,63.82937923,66.20596019,69.33623467,72.38852768,76.98522364,85.12398973,95.26379938,105.7329236,116.6363568,126.5113267,135.873034,143.3969198,145.413244,140.7456245,126.8280621,115.4677952,112.2472148,104.3507899,107.563569,118.7770866,125.7853568,130.9442227,138.5272165,147.7640539,156.7106444,162.8540249
26,Nashville,30.28865366,31.38893169,33.98233692,37.62471384,40.23107755,41.75686415,44.15077351,45.81114041,48.36690331,50.80714652,54.46494705,58.56710813,62.52051284,64.43426652,64.88350568,64.89514508,64.52768376,65.6423808,68.42884786,73.88330301,79.00748931,84.09065066,88.37456717,91.79022846,95.9343727,99.21461164,101.2210966,104.1061537,107.8683919,113.1788852,122.2951223,133.383679,139.6022096,136.2945828,130.0744195,126.7289382,123.8458488,126.8657562,136.6200342,147.3799384,159.6116429,174.8715122,191.9577,207.862693,218.4502282
