,Metro name,2010,2011,2012,2013,2014,2015,2016,2017,2018
0,Atlanta,,,,-0.007,0.097,0.097,-0.008,-0.102,0.005
1,Austin,,,,-0.159,0.005,0.076,0.12,0.042,0.039
2,Baltimore,,,,-0.016,0.178,0.019,-0.108,0.014,-0.136
3,Birmingham,,,,-0.054,0.075,-0.051,0.097,-0.104,-0.085
4,Boston,,,,-0.21,-0.014,0.035,-0.143,-0.103,0.103
5,Buffalo,,,,0.074,0.012,0.086,-0.171,-0.163,-0.052
6,Charlotte,,,,-0.038,-0.089,-0.25,-0.079,0.053,0.024
7,Chicago,,,,-0.134,0.102,-0.004,-0.069,-0.077,0.015
8,Cincinnati,,,,-0.1,-0.003,-0.128,-0.134,-0.066,0.007
9,Cleveland,,,,-0.102,-0.007,0.04,-0.074,-0.106,-0.064
10,Columbus,,,,-0.086,-0.127,-0.095,-0.16,-0.154,0.045
11,Dallas,,,,-0.152,-0.091,-0.065,-0.033,0.163,0.127
12,Denver,,,,-0.094,-0.222,-0.006,0.055,-0.116,0.212
13,Detroit,,,,-0.088,0.059,0.012,-0.16,-0.081,0.097
14,Hartford,,,,-0.039,0.141,-0.11,-0.149,-0.042,-0.145
15,Houston,,,,-0.158,0.001,0.037,0.013,0.026,0.054
16,Indianapolis,,,,,,,,,
17,Jacksonville,,,,0.067,0.077,-0.007,-0.089,-0.024,0.091
18,Kansas City,,,,,,,,,
19,Las Vegas,,,,0.209,0.089,0.007,0.164,-0.176,-0.031
20,Los Angeles,,,,-0.085,0.048,-0.065,-0.011,-0.124,0.256
21,Louisville,,,,-0.092,-0.028,-0.101,-0.136,-0.065,-0.014
22,Memphis,,,,-0.059,-0.131,-0.058,-0.13,-0.041,0.006
23,Miami,,,,-0.051,0.008,-0.109,0.115,-0.023,0.047
24,Milwaukee,,,,-0.021,0.012,-0.202,-0.052,0.002,0.027
25,Minneapolis,,,,0.027,0.128,-0.008,-0.165,-0.059,0.002
26,Nashville,,,,-0.087,-0.135,-0.413,0.072,0.222,0.187
27,New York,,,,-0.111,-0.013,0.013,-0.063,-0.127,0.036
28,Oklahoma City,,,,-0.104,-0.035,0.041,0.004,0.047,-0.113
29,Orlando,,,,0.065,0.189,-0.052,-0.088,-0.067,0.022
30,Philadelphia,,,,-0.054,0.021,0.002,-0.088,-0.072,-0.091
31,Phoenix,,,,0.152,-0.027,-0.026,0.033,-0.07,-0.03
32,Pittsburgh,,,,-0.026,-0.027,0.051,-0.045,-0.097,-0.104
33,Portland,,,,-0.044,-0.035,-0.167,0.011,0.051,0.146
34,Providence,,,,-0.082,0.003,-0.012,-0.137,-0.101,0.047
35,Raleigh,,,,-0.093,-0.097,-0.034,-0.114,0.121,-0.129
36,Richmond,,,,,,,,,
37,Riverside,,,,0.033,0.166,-0.037,-0.068,-0.091,0.138
38,Rochester,,,,-0.091,-0.043,0.032,0.137,-0.13,-0.09
39,Sacramento,,,,0.098,0.138,-0.063,-0.036,-0.085,0.182
40,Salt Lake City,,,,0.161,0.001,-0.399,-0.031,0.066,0.391
41,San Antonio,,,,-0.144,-0.046,-0.147,0.076,0.059,0.082
42,San Diego,,,,-0.128,0.122,-0.241,-0.012,-0.076,0.286
43,San Francisco,,,,-0.016,-0.033,0.008,-0.005,-0.118,0.229
44,San Jose,,,,-0.045,0.006,-0.008,-0.06,-0.259,0.388
45,Seattle,,,,0.009,-0.009,-0.192,-0.078,-0.114,0.345
46,St. Louis,,,,-0.057,-0.066,-0.076,-0.107,-0.066,-0.067
47,Tampa,,,,0.071,0.003,-0.097,-0.08,-0.077,0.055
48,Virginia Beach,,,,-0.05,0.054,0.022,-0.079,-0.051,-0.091
49,Washington,,,,-0.018,0.183,0.071,-0.104,0.137,-0.199
