,Metro name,2010,2011,2012,2013,2014,2015,2016,2017,2018
0,Atlanta,,,,31054.5,34087.0,40237.666666666664,38784.0,35558.25,32188.333333333332
1,Austin,,,,7742.333333333333,6775.75,7803.333333333333,8257.416666666666,9285.416666666666,9617.666666666666
2,Baltimore,,,,12866.583333333334,15245.583333333334,16812.416666666668,15518.083333333334,13352.666666666666,13319.916666666666
3,Birmingham,,,,6846.25,6684.833333333333,6993.416666666667,7011.666666666667,6904.833333333333,6126.666666666667
4,Boston,,,,19646.583333333332,18108.416666666668,17722.666666666668,15259.583333333334,12945.916666666666,13279.333333333334
5,Buffalo,,,,4328.5,4037.0833333333335,4596.333333333333,4115.083333333333,3322.4166666666665,2937.3333333333335
6,Charlotte,,,,18026.666666666668,17366.166666666668,12993.083333333334,11108.083333333334,10289.166666666666,10853.416666666666
7,Chicago,,,,50833.25,51605.0,55627.166666666664,51132.333333333336,46029.583333333336,45051.166666666664
8,Cincinnati,,,,12302.333333333334,11487.25,10774.333333333334,9283.083333333334,7839.0,7517.25
9,Cleveland,,,,13904.75,13339.5,13586.916666666666,12235.166666666666,11562.25,10673.083333333334
10,Columbus,,,,11850.416666666666,10311.25,9135.5,7929.166666666667,6197.166666666667,5778.25
11,Dallas,,,,33377.833333333336,30233.416666666668,26643.75,22961.916666666668,25669.5,30530.916666666668
12,Denver,,,,13327.416666666666,10985.166666666666,9333.75,9361.416666666666,9047.0,9273.0
13,Detroit,,,,22040.416666666668,22834.166666666668,24499.083333333332,21577.083333333332,18163.5,18061.666666666668
14,Hartford,,,,8959.0,9736.416666666666,9369.166666666666,7902.083333333333,7004.416666666667,6186.5
15,Houston,,,,35491.5,31908.083333333332,32412.083333333332,33205.916666666664,34653.666666666664,34737.916666666664
16,Jacksonville,,,,10056.666666666666,11474.0,11678.25,10830.75,10320.666666666666,10788.25
17,Kansas City,,,,,,,,,8754.333333333334
18,Las Vegas,,,,10708.666666666666,13077.916666666666,14148.166666666666,15627.5,14719.833333333334,11285.75
19,Los Angeles,,,,28119.833333333332,30702.166666666668,28927.666666666668,27570.0,23647.0,25680.083333333332
20,Louisville,,,,7958.833333333333,7533.333333333333,6913.083333333333,5890.166666666667,5088.166666666667,4831.333333333333
21,Memphis,,,,8062.916666666667,6552.583333333333,5971.083333333333,5767.25,5197.333333333333,5096.666666666667
22,Miami,,,,58558.583333333336,58788.416666666664,51346.333333333336,54663.333333333336,55260.166666666664,56322.75
23,Milwaukee,,,,7166.0,7421.833333333333,6362.5,5850.333333333333,5534.25,5135.916666666667
24,Minneapolis,,,,13740.75,16415.25,17252.583333333332,16453.333333333332,13059.833333333334,12900.916666666666
25,Nashville,,,,15821.5,14289.583333333334,7997.166666666667,7829.75,8263.0,10487.166666666666
26,New York,,,,111632.66666666667,107972.25,108327.33333333333,101126.75,86805.66666666667,85844.66666666667
27,Oklahoma City,,,,8017.75,7452.416666666667,7044.166666666667,7787.416666666667,8234.666666666666,7411.25
28,Orlando,,,,13108.833333333334,16736.25,17203.75,15745.666666666666,13865.166666666666,13274.25
29,Philadelphia,,,,37580.083333333336,37924.5,37546.083333333336,34642.416666666664,30963.5,28684.833333333332
30,Phoenix,,,,26587.916666666668,31085.416666666668,28983.333333333332,29175.416666666668,27468.0,25884.333333333332
31,Pittsburgh,,,,13915.666666666666,13496.833333333334,13282.916666666666,13741.583333333334,12545.833333333334,11056.166666666666
32,Portland,,,,10250.833333333334,10544.75,9417.75,8074.416666666667,8232.333333333334,9278.25
33,Providence,,,,9501.666666666666,9556.5,9177.166666666666,8198.583333333334,7194.0,6812.5
34,Raleigh,,,,7895.25,7606.916666666667,6605.916666666667,5876.75,5719.75,5525.0
35,Riverside,,,,18237.416666666668,22387.333333333332,23206.166666666668,22258.0,18948.166666666668,20178.416666666668
36,Rochester,,,,3645.25,3563.0833333333335,3520.1666666666665,3705.1666666666665,3593.25,3239.4166666666665
37,Sacramento,,,,5956.25,6988.583333333333,7843.416666666667,7220.583333333333,6393.5,6985.0
38,Salt Lake City,,,,4545.833333333333,5124.5,3474.3333333333335,2831.5833333333335,2602.1666666666665,3678.25
39,San Antonio,,,,12963.833333333334,11825.25,9507.75,9962.916666666666,10214.083333333334,11116.333333333334
40,San Diego,,,,10658.916666666666,11570.666666666666,9133.0,9074.333333333334,7450.833333333333,8851.333333333334
41,San Francisco,,,,7372.916666666667,7518.0,7387.75,7251.833333333333,6222.5,6851.083333333333
42,San Jose,,,,3132.5,2999.9166666666665,2884.0833333333335,2875.6666666666665,2070.0833333333335,2458.8333333333335
43,Seattle,,,,13938.416666666666,15318.333333333334,13296.75,11900.583333333334,9675.583333333334,10584.166666666666
44,St. Louis,,,,20975.833333333332,19993.25,17997.083333333332,15999.5,14416.75,13592.75
45,Tampa,,,,24879.916666666668,27568.75,25094.333333333332,22895.666666666668,19566.833333333332,19503.416666666668
46,Virginia Beach,,,,14187.166666666666,14565.166666666666,14818.833333333334,14654.833333333334,13850.0,12366.25
47,Washington,,,,19331.25,24233.75,27927.5,25459.666666666668,23156.833333333332,24355.0
48,Indianapolis,,,,,,,,,
49,Richmond,,,,,,,,,
