,Metro name,2010,2011,2012,2013,2014,2015,2016,2017,2018
0,Atlanta,,-0.056,-0.26,0.138,0.152,-0.083,-0.022,-0.047,0.265
1,Austin,,0.028,-0.089,0.084,0.022,0.128,0.027,0.117,-0.086
2,Baltimore,,-0.098,-0.097,0.184,0.108,0.008,-0.047,-0.078,0.085
3,Birmingham,,-0.034,0.043,-0.007,0.107,-0.077,0.138,-0.064,-0.064
4,Boston,,-0.026,-0.216,0.019,-0.024,0.023,0.006,-0.113,0.201
5,Buffalo,,-0.135,-0.238,0.117,0.117,0.087,-0.211,0.063,0.134
6,Charlotte,,-0.154,-0.037,0.132,0.012,-0.051,0.021,0.081,0.206
7,Chicago,,-0.043,-0.089,0.079,0.151,-0.04,-0.045,-0.074,-0.001
8,Cincinnati,,-0.029,-0.046,-0.004,0.078,-0.03,0.005,-0.069,0.023
9,Cleveland,,-0.059,-0.081,0.104,0,0.019,0.008,-0.104,0.135
10,Columbus,,-0.109,-0.028,-0.11,0.097,-0.097,-0.018,-0.014,0.319
11,Dallas,,-0.033,-0.054,0.06,-0.008,0.008,0.069,0.043,0.135
12,Denver,,-0.226,-0.076,0.027,-0.176,-0.023,0.077,0.142,0.493
13,Detroit,,-0.027,-0.076,0.262,-0.033,-0.054,-0.069,-0.066,0.109
14,Hartford,,0.061,-0.043,0.07,-0.068,0.156,-0.047,-0.033,0.038
15,Houston,,-0.063,-0.018,0.085,0.226,0.131,-0.192,-0.044,-0.002
16,Indianapolis,,-0.025,-0.045,0.045,0.177,-0.028,0.032,-0.041,0.007
17,Jacksonville,,-0.034,-0.126,0.646,-0.08,-0.08,-0.226,-0.074,0.188
18,Kansas City,,-0.017,-0.08,-0.016,-0.04,-0.137,-0.033,-0.119,0.207
19,Las Vegas,,-0.19,-0.281,1.176,0.007,-0.023,-0.117,-0.119,0.871
20,Los Angeles,,-0.065,-0.371,0.624,-0.065,0.067,-0.046,-0.068,0.233
21,Louisville,,-0.056,-0.134,0.072,0.061,-0.05,0.182,0.032,0.093
22,Memphis,,0.016,-0.171,-0.01,0.138,-0.003,-0.042,-0.024,0.09
23,Miami,,-0.153,0.063,0.717,0.315,-0.132,-0.041,-0.13,-0.007
24,Milwaukee,,-0.015,-0.039,-0.035,-0.012,-0.098,0.024,-0.128,-0.011
25,Minneapolis,,-0.192,-0.158,0.039,-0.089,-0.03,-0.043,-0.091,0.245
26,Nashville,,-0.062,-0.077,-0.069,-0.023,-0.038,0.072,0.296,0.092
27,New York,,0.054,-0.167,-0.011,0.113,0.147,-0.012,0.002,0.032
28,Oklahoma City,,0.083,0.051,0.009,0.179,-0.051,0.033,-0.09,-0.037
29,Orlando,,-0.087,0.05,0.493,0.061,-0.116,-0.198,-0.041,0.144
30,Philadelphia,,-0.016,-0.045,-0.028,0.125,0.026,0.063,-0.074,-0.023
31,Phoenix,,-0.371,0.585,0.307,-0.137,-0.025,-0.04,-0.113,-0.029
32,Pittsburgh,,0.141,-0.048,-0.012,0.04,0.018,0.033,-0.084,0.005
33,Portland,,-0.158,-0.217,0.047,0,-0.204,0.134,0.269,0.151
34,Providence,,0.027,-0.141,0.067,-0.01,0.049,-0.036,-0.102,0.119
35,Raleigh,,0.037,-0.059,0.04,-0.126,-0.025,0.121,0.132,0.182
36,Richmond,,-0.115,-0.027,0.086,0.027,-0.016,-0.027,0.034,-0.027
37,Riverside,,-0.033,-0.231,0.409,0.03,-0.007,-0.133,-0.01,0.135
38,Rochester,,0.058,-0.164,0.097,-0.098,0.02,-0.219,-0.064,0.196
39,Sacramento,,-0.201,-0.278,0.844,-0.262,-0.263,-0.033,0.31,0.24
40,Salt Lake City,,-0.221,-0.025,0.176,-0.067,-0.299,0.141,0.332,0.278
41,San Antonio,,0.096,0.079,0.016,0.131,0.016,0.003,0.087,-0.058
42,San Diego,,-0.227,-0.201,0.596,-0.006,-0.231,0.005,0.101,0.442
43,San Francisco,,-0.306,-0.414,0.206,0.085,-0.131,0.106,-0.067,0.581
44,San Jose,,-0.267,-0.41,0.072,-0.155,-0.029,0.387,-0.084,1.163
45,Seattle,,-0.208,-0.344,0.253,-0.129,-0.22,0.043,0.088,0.818
46,St. Louis,,-0.073,-0.014,-0.015,0.054,0.007,-0.034,-0.069,-0.03
47,Tampa,,-0.107,-0.01,0.574,0.002,-0.111,0.038,-0.026,0.09
48,Virginia Beach,,-0.159,-0.04,0.105,0.048,0.017,0.047,-0.062,0.01
49,Washington,,-0.158,-0.135,0.11,0.142,-0.015,-0.034,-0.04,0.019
