,Metro name,2010,2011,2012,2013,2014,2015,2016,2017,2018
0,Atlanta,,,0.164,0.198,0.125,0.088,0.021,0.08,0.074
1,Austin,,,,,0.069,0.058,0.081,0.041,0.005
2,Baltimore,-0.121,0.023,0.046,-0.021,0.03,-0.01,0.053,0.034,-0.006
3,Birmingham,,,,,0.021,0.025,0.063,0.092,0.06
4,Boston,0.023,-0.02,0.071,0.066,0.073,0.032,0.04,0.066,0.039
5,Buffalo,,,,,,0.015,0.039,0.056,0.058
6,Charlotte,0.02,-0.063,0.066,0.068,0.011,0.063,0.011,0.068,0.062
7,Chicago,-0.062,-0.102,0.016,0.192,0.046,-0.085,0.092,0.019,0.067
8,Cincinnati,-0.035,-0.052,0.043,0.018,0.047,0.056,0.047,0.012,0.016
9,Cleveland,0.057,-0.126,0.126,0.046,0.087,-0.041,0.079,0.064,-0.016
10,Columbus,0.02,-0.052,0.047,0.178,-0.009,-0.028,0.107,0.058,0.029
11,Dallas,,,,,,,,,
12,Denver,0.043,-0.003,0.139,0.07,0.075,0.105,0.097,0.084,0.061
13,Detroit,,,,,,,,,
14,Hartford,0.039,-0.109,0.024,-0.008,-0.021,-0.006,0.03,0.023,0.016
15,Houston,,,,,,,,,
16,Indianapolis,,,,0.025,0.089,0.02,0.036,0.048,0.063
17,Jacksonville,-0.138,0.013,-0.054,0.026,0.009,0.056,0.153,0.072,0.122
18,Kansas City,,,,,-0.037,0.014,0.072,0.111,0.032
19,Las Vegas,-0.046,-0.062,0.243,0.202,0.08,0.065,0.042,0.142,0.109
20,Los Angeles,-0.017,-0.067,0.172,0.142,0.051,0.069,0.012,0.12,0.051
21,Louisville,,,,,0.031,0.173,-0.002,0.05,0.022
22,Memphis,-0.084,-0.099,0.122,0.039,0.129,-0.017,0.122,0.106,-0.023
23,Miami,-0.104,0.037,0.171,0.141,0.075,0.06,0.105,0.077,0.045
24,Milwaukee,0.03,-0.064,-0.074,0.049,0.09,-0.008,0.061,0.068,0.027
25,Minneapolis,,,,,0.06,0.055,0.03,0.068,0.047
26,Nashville,0.008,-0.042,0.06,0.073,0.112,0.067,0.121,0.09,0.061
27,New York,,-0.105,0.039,0.043,0.013,0.005,0.005,0.071,0.024
28,Oklahoma City,0.048,0.022,0.098,-0.006,0.068,0.053,-0.033,-0.017,0.053
29,Orlando,-0.137,0.157,0.086,0.172,0.049,0.123,0.068,0.096,0.146
30,Philadelphia,-0.029,-0.086,0.046,-0.004,-0.013,-0.01,0.041,-0.004,0.021
31,Phoenix,-0.115,0.048,0.186,0.112,0.043,0.122,0.093,0.079,0.086
32,Pittsburgh,0.016,0.019,0.083,-0.002,0.077,0.014,0.017,0.023,0.038
33,Portland,-0.031,-0.064,0.123,0.073,0.061,0.069,0.09,0.072,0.031
34,Providence,,,,,,,,,0.033
35,Raleigh,-0.007,-0.022,0.028,0.06,0.041,0.1,0.027,0.054,0.047
36,Richmond,-0.079,-0.035,0.052,-0.004,0.092,0.013,0.04,0.048,0.064
37,Riverside,-0.003,-0.035,0.2,0.192,0.062,0.055,0.028,0.098,0.05
38,Rochester,,0.011,0.006,-0.01,0.007,0.001,0.035,0.022,0.057
39,Sacramento,-0.042,-0.086,0.213,0.209,0.072,0.067,0.076,0.086,0.04
40,Salt Lake City,,,,,0.115,0.028,0.056,0.099,0.059
41,San Antonio,,,,,,,,,
42,San Diego,0.029,-0.032,0.164,0.129,0.045,0.062,0.051,0.087,0.019
43,San Francisco,-0.008,-0.076,0.288,0.185,0.004,0.097,0.022,0.098,0.06
44,San Jose,0.013,-0.044,0.209,0.094,0.089,0.11,0.028,0.196,0.034
45,Seattle,-0.045,-0.152,0.185,0.065,0.043,0.072,0.078,0.117,0.022
46,St. Louis,-0.049,-0.042,0.03,0.085,0.058,0.021,-0.001,0.046,0.046
47,Tampa,-0.127,-0.035,0.169,0.095,0.058,0.112,0.099,0.089,0.041
48,Virginia Beach,-0.028,-0.126,0.086,0.002,0.009,0.036,0.04,0.028,-0.016
49,Washington,0.015,-0.066,0.118,0.065,0.029,-0.008,0.023,0.031,0.021
