,Metro name,2010,2011,2012,2013,2014,2015,2016,2017,2018
0,Atlanta,,95633.33333333333,102583.33333333333,133158.33333333334,148608.33333333334,168908.33333333334,175358.33333333334,188558.33333333334,205441.66666666666
1,Austin,,,,248362.5,251850.0,269058.3333333333,293241.6666666667,308466.6666666667,323816.6666666667
2,Baltimore,199816.66666666666,190291.66666666666,222358.33333333334,225991.66666666666,231991.66666666666,230241.66666666666,239525.0,241150.0,247125.0
3,Birmingham,,,,131827.27272727274,131025.0,138466.66666666666,144933.33333333334,154950.0,168441.66666666666
4,Boston,314225.0,302975.0,312500.0,320916.6666666667,350058.3333333333,364600.0,375850.0,398200.0,421825.0
5,Buffalo,,,,,122133.33333333333,122891.66666666667,127791.66666666667,136166.66666666666,144400.0
6,Charlotte,150208.33333333334,151458.33333333334,156341.66666666666,164558.33333333334,170983.33333333334,180466.66666666666,187816.66666666666,190566.66666666666,213641.66666666666
7,Chicago,191816.66666666666,172483.33333333334,164825.0,179950.0,200100.0,199458.33333333334,190541.66666666666,204783.33333333334,220925.0
8,Cincinnati,121016.66666666667,116250.0,119116.66666666667,126291.66666666667,132866.66666666666,137091.66666666666,147050.0,152033.33333333334,159925.0
9,Cleveland,108191.66666666667,97358.33333333333,100900.0,107133.33333333333,116316.66666666667,116108.33333333333,119050.0,127216.66666666667,133100.0
10,Columbus,128375.0,123433.33333333333,129733.33333333333,142166.66666666666,153750.0,159416.66666666666,162125.0,172525.0,181925.0
11,Denver,209125.0,202908.33333333334,222958.33333333334,245733.33333333334,259491.66666666666,291741.6666666667,326675.0,356341.6666666667,388575.0
12,Hartford,215108.33333333334,212041.66666666666,203341.66666666666,204650.0,204716.66666666666,198591.66666666666,205491.66666666666,205466.66666666666,215050.0
13,Indianapolis,,,140000.0,150516.66666666666,130891.66666666667,149675.0,152958.33333333334,163566.66666666666,172391.66666666666
14,Jacksonville,127383.33333333333,121108.33333333333,104525.0,113933.33333333333,112441.66666666667,118591.66666666667,135766.66666666666,155075.0,172241.66666666666
15,Kansas City,,,,167950.0,167625.0,173133.33333333334,169741.66666666666,190950.0,207208.33333333334
