,Metro name,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,Atlanta,57.11111111,59.83333333,63.08333333,67.5,73.08333333,78.66666667,83.66666667,86.33333333,89.08333333,92.41666667,96.25,98.5,91.5,80.16666667,72.75,64.25,60.25,66.33333333,75.33333333,80.5,87.58333333,96,105.9166667,114
1,Austin,,81.8,84.75,85.33333333,89.08333333,92,91.91666667,91.41666667,92.91666667,96,99.08333333,104.25,105.5,102.5,102.5833333,100.5833333,101.75,106.25,114.9166667,124.75,136.0833333,145.6666667,155.5,163.8888889
2,Baltimore,80.77777778,81.16666667,82.58333333,85.33333333,89.83333333,96.08333333,106.4166667,122.75,146.3333333,179,199.25,199,185.25,171.5833333,165.1666667,152.4166667,148.9166667,152.9166667,157.8333333,160.4166667,165.0833333,170.75,178.1666667,180.7777778
3,Birmingham,45.66666667,51.66666667,56.08333333,59.33333333,60.91666667,63.75,65.58333333,68.66666667,72,77.33333333,81.16666667,83.16666667,80.58333333,76.5,74.16666667,68.83333333,67.08333333,67.66666667,69.58333333,71.41666667,74.41666667,76.33333333,81.91666667,88
4,Boston,95.66666667,100.5833333,110.75,124.5833333,145.25,167.6666667,188.75,209.25,226.5833333,242.3333333,236.5,225.75,209.9166667,198.4166667,198.25,191.5833333,191.0833333,202.5833333,215.5833333,226.5,239.1666667,258.6666667,274.75,282.2222222
5,Buffalo,57.66666667,56.75,56.16666667,56.33333333,58.25,58.75,63.5,68.41666667,72,75.08333333,77.83333333,79.83333333,79.58333333,79.91666667,82,82.41666667,82.25,85.25,88.08333333,91.16666667,95.5,102.9166667,110.25,115.7777778
6,Charlotte,62.11111111,63.33333333,64.08333333,68.58333333,72.41666667,75.83333333,77,78.33333333,81.08333333,83.5,88.25,92.41666667,91.91666667,86.66666667,84,79,77.58333333,80.91666667,84.91666667,89,95.08333333,104,113.5,121.4444444
7,Chicago,93.44444444,88.91666667,93.41666667,100.8333333,108.75,116.5833333,125,134,144.5833333,157.1666667,167.75,169.0833333,157.4166667,138.8333333,128.4166667,115.75,109.25,112.5833333,119.4166667,125.0833333,130.1666667,137.3333333,145.1666667,149.6666667
8,Cincinnati,64.77777778,66.41666667,69.91666667,74.25,77.5,80.83333333,83.66666667,87.16666667,90.75,93.66666667,96.83333333,96.25,92.33333333,87.58333333,86.16666667,83,82.58333333,83.25,85.16666667,88.25,93.08333333,98.91666667,105.8333333,111.4444444
9,Cleveland,70.44444444,73.25,75.25,78,81.5,84.25,87.25,90.83333333,94.58333333,97.33333333,97.33333333,94.08333333,87.25,82.25,80.83333333,76.33333333,74.08333333,76.16666667,78,79.83333333,83.75,89.16666667,95.25,99.33333333
