,Metro name,2010,2011,2012,2013,2014,2015,2016,2017,2018
0,Atlanta,,,,-0.024,0.167,-0.005,0.01,0.088,-0.037
1,Austin,,,,-0.101,0.11,-0.006,0.087,0.114,-0.066
2,Baltimore,,,,0.001,0.136,-0.017,0.032,0.072,-0.148
3,Birmingham,,,,-0.075,0.218,-0.038,0.012,0.082,-0.082
4,Boston,,,,,,,,,
5,Buffalo,,,,,,,0.005,-0.009,-0.049
6,Charlotte,,,,-0.198,-0.042,-0.143,0.076,0.201,-0.041
7,Chicago,,,,-0.061,0.162,-0.058,-0.032,0.043,-0.084
8,Cincinnati,,,,-0.207,0.056,-0.056,-0.011,0.063,-0.012
9,Cleveland,,,,-0.136,0.021,0.08,-0.03,0.088,-0.087
10,Columbus,,,,-0.2,-0.065,-0.034,-0.061,0.053,0.004
11,Dallas,,,,-0.143,0.02,-0.037,0.033,0.255,-0.059
12,Denver,,,,,,,,,
13,Detroit,,,,-0.075,0.01,-0.022,-0.108,0.051,0.012
14,Hartford,,,,-0.113,0.067,-0.019,-0.058,0.089,-0.138
15,Houston,,,,-0.096,0.055,-0.025,-0.005,0.116,-0.046
16,Indianapolis,,,,,,,,,
17,Jacksonville,,,,0.079,0.073,0.029,-0.082,0.149,-0.084
18,Kansas City,,,,,,,,,
19,Las Vegas,,,,0.208,0.079,-0.019,0.01,0.121,-0.042
20,Los Angeles,,,,,,,,,
21,Louisville,,,,-0.124,0.083,-0.127,-0.001,0.117,-0.061
22,Memphis,,,,-0.117,-0.06,-0.052,-0.048,0.121,0.105
23,Miami,,,,-0.112,-0.022,-0.089,-0.045,0.103,-0.086
24,Milwaukee,,,,0.042,0.007,-0.093,-0.024,0.088,0.027
25,Minneapolis,,,,0.014,0.072,0.01,-0.06,0.08,-0.059
26,Nashville,,,,-0.115,-0.046,-0.289,0.113,0.276,0.024
27,New York,,,,,,,,,
28,Oklahoma City,,,,,,,,,-0.142
29,Orlando,,,,0.015,0.116,0.013,-0.097,0.15,-0.095
30,Philadelphia,,,,-0.076,0.024,0.028,-0.004,0.06,-0.09
31,Phoenix,,,,0.045,-0.044,0.013,0.049,0.078,-0.096
32,Pittsburgh,,,,-0.116,0.04,0.188,-0.144,0.045,-0.045
33,Portland,,,,-0.156,0.027,-0.052,-0.001,0.17,-0.043
34,Providence,,,,,,,-0.042,0.014,-0.035
35,Raleigh,,,,-0.11,-0.01,-0.037,0.007,0.227,-0.141
36,Richmond,,,,,,,,0.255,0.025
37,Riverside,,,,0.059,0.039,-0.037,-0.056,0.185,-0.113
38,Rochester,,,,-0.248,0.033,0.041,0.22,-0.007,-0.086
39,Sacramento,,,,0.078,0.02,-0.044,0.016,0.254,-0.063
40,Salt Lake City,,,,,,,,,
41,San Antonio,,,,-0.122,0.026,-0.065,0.123,0.079,0.026
42,San Diego,,,,,,,,,
43,San Francisco,,,,,,,,,
44,San Jose,,,,,,,,,
45,Seattle,,,,,,,,,
46,St. Louis,,,,-0.149,-0.012,-0.063,-0.012,0.113,-0.143
47,Tampa,,,,0.004,0.02,0.012,-0.075,0.132,-0.084
48,Virginia Beach,,,,-0.027,0.028,0.047,-0.07,0.058,-0.074
49,Washington,,,,0.061,0.064,0.003,0.043,0.116,-0.175
