,Metro name,2010,2011,2012,2013,2014,2015,2016,2017,2018
0,Atlanta,,,,7689.083333333333,8355.166666666666,9312.5,9218.666666666666,8819.0,8855.833333333334
1,Austin,,,,2172.9166666666665,1976.3333333333333,2172.3333333333335,2251.5833333333335,2456.1666666666665,2621.5
2,Baltimore,,,,2945.3333333333335,3381.9166666666665,3620.1666666666665,3564.8333333333335,3316.6666666666665,3463.0833333333335
3,Birmingham,,,,1201.75,1253.9166666666667,1314.25,1419.25,1352.6666666666667,1391.25
4,Boston,,,,,,,,,
5,Buffalo,,,,,,1084.0,1023.9166666666666,983.6666666666666,963.25
6,Charlotte,,,,3627.8333333333335,3547.75,2788.75,2742.4166666666665,2854.4166666666665,3218.0
7,Chicago,,,,11025.0,11536.75,12032.5,11330.5,11066.0,11365.583333333334
8,Cincinnati,,,,2405.0833333333335,2392.25,2284.3333333333335,2244.75,2108.75,2158.1666666666665
9,Cleveland,,,,2504.9166666666665,2472.25,2599.5833333333335,2485.25,2540.6666666666665,2581.0833333333335
10,Columbus,,,,2579.4166666666665,2367.4166666666665,2173.6666666666665,2064.75,1837.1666666666667,1985.5
11,Dallas,,,,8347.0,8318.333333333334,7947.916666666667,7057.333333333333,7764.583333333333,9213.166666666666
12,Denver,,,,,,,,,
13,Detroit,,,,6164.75,6043.333333333333,6215.75,5676.916666666667,5300.083333333333,5485.583333333333
14,Hartford,,,,1636.5,1726.75,1678.9166666666667,1496.4166666666667,1437.1666666666667,1475.0
15,Houston,,,,8137.75,8167.5,7974.833333333333,7765.0,7911.0,8263.75
16,Jacksonville,,,,2303.9166666666665,2503.9166666666665,2547.8333333333335,2487.1666666666665,2464.75,2660.0833333333335
17,Kansas City,,,,,,,,,2492.0
18,Las Vegas,,,,3066.25,3192.25,3424.25,3639.5,3559.5833333333335,3644.0
19,Los Angeles,,,,,,,,,
20,Louisville,,,,1634.0833333333333,1597.8333333333333,1575.5,1473.9166666666667,1425.0833333333333,1475.4166666666667
21,Memphis,,,,1572.75,1349.0833333333333,1302.9166666666667,1246.3333333333333,1293.9166666666667,1353.8333333333333
22,Miami,,,,14788.583333333334,13511.833333333334,11815.0,11499.5,10344.0,11192.583333333334
23,Milwaukee,,,,1327.9166666666667,1416.0833333333333,1270.8333333333333,1285.0833333333333,1373.0,1382.6666666666667
24,Minneapolis,,,,3571.9166666666665,3906.9166666666665,4449.416666666667,4574.25,3988.9166666666665,4307.583333333333
25,Nashville,,,,3250.5,3158.0833333333335,1993.6666666666667,2155.5833333333335,2311.3333333333335,2863.25
26,New York,,,,,,,,,
27,Oklahoma City,,,,,,,,1933.6666666666667,1784.3333333333333
28,Orlando,,,,3539.1666666666665,4101.833333333333,3976.0833333333335,3767.6666666666665,3630.9166666666665,3835.25
29,Philadelphia,,,,7298.5,7254.333333333333,7498.75,7184.166666666667,7204.833333333333,7194.416666666667
30,Phoenix,,,,7367.166666666667,7147.916666666667,7184.583333333333,7431.333333333333,7312.083333333333,7418.666666666667
31,Pittsburgh,,,,2335.1666666666665,2348.0,2360.0,2492.8333333333335,2319.6666666666665,2349.8333333333335
32,Portland,,,,2692.3333333333335,2729.0,2802.4166666666665,2629.8333333333335,2603.8333333333335,2820.8333333333335
33,Providence,,,,,,1895.5,1767.5,1780.9166666666667,1760.1666666666667
34,Raleigh,,,,1764.9166666666667,1757.4166666666667,1596.75,1575.0833333333333,1561.5,1621.0833333333333
35,Richmond,,,,,,,1753.5,1594.5,1571.1666666666667
36,Riverside,,,,5092.75,5580.5,5521.333333333333,5444.583333333333,5157.166666666667,5543.25
37,Rochester,,,,811.4166666666666,773.5,813.5,925.5833333333334,1009.9166666666666,991.8333333333334
38,Sacramento,,,,1829.5833333333333,1929.1666666666667,2107.4166666666665,2064.0833333333335,2143.25,2447.4166666666665
39,Salt Lake City,,,,,,,,,1407.090909090909
40,San Antonio,,,,2707.1666666666665,2645.9166666666665,2390.0833333333335,2510.8333333333335,2549.3333333333335,2861.6666666666665
41,San Diego,,,,,,,,,
42,San Francisco,,,,,,,,,
43,San Jose,,,,,,,,,
44,Seattle,,,,,,,,,
45,St. Louis,,,,4144.916666666667,3836.6666666666665,3805.9166666666665,3586.6666666666665,3526.9166666666665,3442.4166666666665
46,Tampa,,,,5728.75,6148.75,5660.583333333333,5666.416666666667,5319.833333333333,5621.75
47,Virginia Beach,,,,2720.0833333333335,2701.1666666666665,2669.0833333333335,2712.0833333333335,2785.75,2681.4166666666665
48,Washington,,,,5796.0,6550.0,7097.583333333333,6890.0,6616.0,7239.083333333333
49,Indianapolis,,,,,,,,,
