,Metro name,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
0,Atlanta,42789,41304,41630,43604,43613,43131,45447,47212,47998,49320,49225
1,Austin,44521,42103,43390,45500,47621,47421,49290,50421,50374,52470,53170
2,Baltimore,47983,46824,46942,48065,48724,48186,49277,51046,52138,52771,52659
3,Birmingham,46945,44685,45625,46373,47768,46817,48119,50264,50607,52015,51741
4,Boston,54032,53098,54647,55575,56634,56159,57844,61013,61998,63550,63659
5,Buffalo,41842,42594,43528,44161,44836,44395,44804,46537,47216,48914,48634
6,Charlotte,51928,46948,43525,44311,48366,44817,46206,48560,49304,50669,48546
7,Chicago,46526,43186,43451,44288,46089,47048,49520,51972,52307,53322,53913
8,Cincinnati,45383,44669,46217,48792,49868,49868,50588,52446,53410,54614,55612
9,Cleveland,48320,46497,46556,48243,49807,49245,50735,52225,52970,54143,54307
10,Columbus,43684,42755,43341,45106,46825,46602,47706,50006,50280,50781,51957
11,Dallas,45480,41614,42665,45723,46795,46738,48760,49693,49629,50618,51656
12,Denver,49064,44603,44114,46620,48272,49127,52114,52744,51838,54180,54507
13,Detroit,41897,39670,40463,42399,43792,43608,45463,48482,49661,50341,51079
14,Hartford,52839,52155,52735,53703,54236,53823,54936,56480,56789,57353,57674
15,Houston,50457,46052,46992,48869,52223,50870,52800,52393,48804,49250,51399
16,Indianapolis,45313,44860,46276,47956,48995,48610,49771,52257,53536,53937,54928
17,Jacksonville,43141,40638,42013,42715,43394,42920,43982,45775,45933,47638,47137
18,Kansas City,48793,47303,46428,47051,49001,48512,49295,51721,52005,52765,52666
19,Las Vegas,40495,36595,36905,37468,39065,37992,40182,42632,43193,43933,43607
20,Los Angeles,41289,39395,40046,41173,43345,42439,44375,47402,48330,49222,49682
21,Louisville,43947,42600,43673,44710,46467,45012,46375,48499,49263,50346,50486
22,Memphis,42839,41356,42117,42941,43950,43260,43777,45221,46139,46575,46632
23,Miami,44466,40454,42808,43255,43587,41891,43945,46141,45989,47036,46588
24,Milwaukee,49275,47901,47995,49394,50292,49462,50543,52244,52862,53933,53740
25,Minneapolis,49343,46422,47325,49015,50596,49955,52079,54422,55188,55918,56512
26,Nashville,45319,44966,46603,47957,49784,49275,51247,53741,54906,55229,56697
27,New York,48585,46606,46918,48044,49401,49502,51088,52836,54065,56688,55839
28,Oklahoma City,46698,44059,44266,45393,46137,46075,47616,48039,46832,47744,48096
29,Orlando,35997,33992,35219,35998,36193,36049,37296,39128,39324,40335,40275
30,Philadelphia,46743,45472,46470,48053,49674,49653,51246,53414,54518,55715,56374
31,Phoenix,38738,36146,36388,37567,38762,38836,40155,41595,42102,43008,43130
32,Pittsburgh,49100,47684,48379,49335,49734,49207,50822,53293,53277,55022,54617
33,Portland,44597,41863,41864,42936,44291,43762,45835,48633,49334,50444,50254
34,Providence,43484,42708,44370,44983,45838,45339,46370,48184,48498,49683,49914
35,Raleigh,49177,46242,47152,47086,48235,46956,48632,50937,51349,51563,51383
36,Richmond,48265,45854,46602,48087,49799,49102,50528,52944,53310,54645,54845
37,Riverside,30647,29556,29382,30166,30283,30415,31379,33285,34085,34397,34317
38,Rochester,41292,41591,42662,43571,44792,43666,43689,45736,46218,48012,47705
39,Sacramento,43489,41942,41839,42643,43542,44142,46212,49030,49810,50283,50743
40,Salt Lake City,41416,38271,38038,39384,40995,40683,42268,45091,46218,47003,46921
41,San Antonio,40844,39065,40133,41869,41846,42035,44062,44787,44323,45142,45928
42,San Diego,41823,39739,39147,39851,41038,41955,44004,46027,46802,47562,47757
43,San Francisco,54862,52251,53064,55685,58266,57830,60237,64169,66288,68773,68883
44,San Jose,52655,49599,52355,55484,58967,57736,60553,64678,68113,71610,71701
45,Seattle,52140,47791,47666,49121,52226,51758,54391,56174,57691,59414,59259
46,St. Louis,51685,49518,49953,50034,51772,50557,51599,52904,54430,55028,54505
47,Tampa,40780,39114,40369,41479,40123,38967,40690,42882,42810,43528,43062
48,Virginia Beach,43243,42503,42798,43355,43973,43451,44475,46349,46307,47216,47133
49,Washington,52091,50112,50786,52363,52895,51025,51749,54224,55228,55606,55305
