,Metro name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
0,Atlanta,4281.905,4432.95,4555.49,4673.146,4802.3,4947.012,5119.641,5267.527,5385.586,5475.213,5302.703,5366.252,5444.763,5511.323,5594.545,5688.284,5790.28,5874.249,5949.951
1,Austin,1265.715,1324.426,1353.176,1382.693,1418.999,1464.309,1528.958,1594.525,1654.1,1705.075,1727.528,1780.605,1834.926,1883.901,1943.409,2002.591,2062.211,2115.23,2168.316
2,Baltimore,2557.501,2577.904,2600.58,2621.815,2638.066,2649.586,2662.048,2669.702,2677.712,2690.886,2715.726,2733.547,2754.611,2768.374,2780.3,2790.285,2794.294,2798.587,2802.789
3,Birmingham,1053.394,1060.335,1065.089,1073.439,1081.705,1090.441,1103.572,1112.838,1123.146,1131.07,1128.714,1130.493,1133.591,1138.638,1141.436,1144.734,1147.616,1149.685,1151.801
4,Boston,4402.611,4443.31,4459.011,4458.187,4456.479,4458.891,4473.477,4503.921,4544.705,4588.68,4566.449,4609.467,4656.698,4703.321,4747.822,4779.753,4811.098,4844.597,4875.39
5,Buffalo,1169.159,1163.528,1158.368,1154.212,1148.714,1139.328,1130.913,1125.965,1124.055,1123.804,1135.622,1135.456,1134.59,1134.993,1135.116,1132.909,1130.013,1129.66,1130.152
6,Charlotte,1340.417,1375.381,1406.699,1436.89,1471.706,1519.448,1583.869,1650.974,1706.469,1745.524,2223.238,2254.513,2292.168,2332.687,2374.668,2422.408,2474.478,2524.863,2569.213
7,Chicago,9117.732,9192.501,9245.135,9286.162,9332.09,9362.08,9398.855,9451.936,9515.636,9580.567,9470.88,9500.991,9529.773,9553.268,9564.614,9557.88,9540.144,9520.784,9498.716
8,Cincinnati,2014.665,2035.68,2050.03,2066.256,2083.905,2102.422,2122.711,2148.315,2158.643,2171.896,2117.678,2122.445,2128.333,2137.994,2148.189,2157.64,2168.233,2179.858,2190.209
9,Cleveland,2147.948,2144.528,2140.552,2136.026,2128.958,2118.249,2106.336,2099.185,2094.051,2091.286,2075.481,2068.801,2064.716,2067.127,2067.459,2064.284,2061.527,2058.549,2057.009
10,Columbus,1619.514,1642.112,1659.344,1678.827,1696.238,1714.463,1737.17,1759.348,1779.822,1801.848,1906.361,1926.157,1947.157,1974.121,2001.776,2027.559,2051.957,2082.475,2106.541
11,Dallas,5196.188,5354.623,5476.578,5582.033,5689.982,5816.407,5999.411,6156.652,6301.085,6447.615,6452.028,6570.598,6706.434,6817.518,6955.259,7109.28,7262.951,7407.944,7539.711
12,Denver,2194.022,2246.785,2276.25,2297.441,2321.712,2353.518,2399.62,2449.476,2500.384,2552.195,2554.816,2602.973,2650.456,2700.774,2754.641,2813.514,2857.549,2892.979,2932.415
13,Detroit,4457.471,4479.232,4486.067,4492.756,4498.311,4494.398,4484.542,4456.582,4423.781,4403.437,4291.593,4291.406,4300.902,4305.86,4311.699,4309.845,4316.198,4321.704,4326.442
14,Hartford,1150.915,1156.981,1165.667,1173.575,1175.284,1178.556,1182.625,1186.341,1191.17,1195.998,1214.064,1215.979,1215.098,1214.663,1213.8,1211.598,1208.416,1206.719,1206.3
15,Houston,4739.414,4851.189,4978.638,5084.017,5190.444,5299.567,5484.883,5597.674,5726.705,5867.489,5947.409,6056.366,6184.861,6330.657,6503.618,6676.565,6812.26,6905.695,6997.384
16,Indianapolis,1531.156,1556.076,1578.239,1600.165,1622.935,1645.027,1671.898,1697.656,1720.796,1743.658,1892.647,1910.646,1929.653,1953.149,1970.816,1985.844,2005.404,2026.723,2048.703
17,Jacksonville,1126.224,1148.044,1172.801,1194.706,1222.731,1248.524,1279.132,1301.097,1316.528,1328.144,1348.889,1361.845,1377.551,1393.454,1416.551,1444.715,1476.12,1504.841,1534.701
18,Kansas City,1842.924,1865.245,1890.419,1912.368,1935.84,1958.504,1984.954,2011.857,2046.083,2067.585,2013.373,2025.319,2038.57,2053.939,2069.384,2085.979,2106.882,2127.259,2143.651
19,Las Vegas,1393.37,1456.549,1515.571,1572.924,1646.875,1708.846,1778.129,1838.635,1879.093,1902.834,1952.644,1962.01,1989.693,2018.003,2054.263,2098.105,2140.547,2183.31,2231.647
20,Los Angeles,,,,,,,,,,,12838.992,12927.594,13018.855,13106.114,13178.73,13250.999,13291.247,13298.709,13291.486
21,Louisville,990.05,1005.2,1008.2,1020.5,1029.6,1033.2,1039.1,1042.7,1050.7,1055.5,1054.048,1054.031,1055.644,1054.994,1054.131,1052.604,1051.911,1052.163,1051.646
22,Memphis,911.123,922.4,936.8,940.8,952.9,956.1,961.7,967.4,975.5,988.3,997.844,994.005,997.175,1001.648,1005.067,1015.899,1025.882,1038.87,1053.27
23,Miami,5025.806,5120.256,5212.602,5280.671,5362.678,5443.159,5466.743,5465.183,5501.752,5547.051,5583.547,5693.531,5771.731,5849.411,5921.03,5998.284,6086.935,6149.687,6198.782
24,Milwaukee,1502.305,1511.299,1521.102,1528.417,1533.932,1536.32,1540.301,1544.818,1550.451,1559.667,1556.684,1561.175,1567.241,1571.822,1575.157,1576.781,1576.331,1575.151,1576.113
25,Minneapolis,2981.616,3024.111,3053.303,3078.253,3106.569,3132.772,3167.666,3204.196,3237.612,3269.814,3355.273,3388.292,3421.051,3456.095,3491.584,3519.501,3554.69,3592.669,3629.19
26,Nashville,1317.58,1343.263,1363.834,1386.743,1416.452,1450.538,1489.156,1524.92,1556.368,1582.264,1675.475,1698.28,1726.925,1758.982,1792.933,1829.347,1866.873,1900.584,1930.961
