,Metro name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,Atlanta,0.888532265,0.885009839,0.930547473,0.95755099,0.956081224,0.959967292,0.96869321,0.974320788,0.97896725,0.976990613
1,Austin,1.068875825,1.061932597,1.076110059,1.052998853,1.039075578,1.031782637,1.018247548,1.008898751,1.010173663,1.022387357
2,Baltimore,0.918496771,0.913230875,0.935250635,0.954204439,0.95175691,0.953652951,0.961139751,0.967322325,0.972838955,0.973682678
3,Birmingham,0.902318333,0.899945845,0.917650567,0.935905694,0.943275752,0.949783937,0.956687307,0.96172478,0.96876686,0.972943217
4,Boston,0.931274909,0.929711324,0.943271649,0.963214336,0.969221523,0.973834493,0.98048501,0.988173518,0.988740568,0.985964863
5,Buffalo,0.938318921,0.930600005,0.93197916,0.946218046,0.950052742,0.952880331,0.961811187,0.97256487,0.976750741,0.97863227
6,Charlotte,0.905336052,0.897760433,0.925512888,0.948471598,0.9533426,0.959175544,0.970523082,0.979830279,0.978378291,0.977562243
7,Chicago,0.889288929,0.884796606,0.905750402,0.939137412,0.944541396,0.942350305,0.949507668,0.956503989,0.957952268,0.958481673
8,Cincinnati,0.914955065,0.905487126,0.916871,0.93228643,0.939536814,0.94732966,0.956805899,0.962216973,0.967442773,0.969448691
9,Cleveland,0.894914663,0.887705986,0.900105537,0.920806109,0.929170276,0.932235445,0.941960422,0.952475132,0.957485435,0.961546547
10,Columbus,0.92125169,0.918469271,0.935121996,0.9553349,0.964000197,0.971556732,0.977605314,0.984552716,0.986041143,0.986649559
11,Dallas,1.01142736,1.008147747,1.012661835,1.007134904,1.000359697,1.002904682,0.996809784,0.994708178,0.991711418,0.992761189
12,Denver,0.939952579,0.938793867,0.966663376,0.982099108,0.987469156,0.99566379,0.993733508,0.993871821,0.991487412,0.989615668
13,Detroit,0.889640726,0.905556946,0.935302154,0.955893361,0.945763771,0.945505313,0.954035044,0.963218488,0.966097693,0.963296575
14,Hartford,0.92820871,0.919639917,0.920069003,0.935747509,0.934663126,0.932670833,0.939671739,0.949514221,0.955880465,0.96068118
15,Houston,1.024450924,1.00552196,1.008071554,1.019330324,1.005676526,1.014205521,1.000796117,0.995694637,0.996747509,1.009354561
16,Indianapolis,1.013976132,0.990169945,0.991087143,0.964651647,0.965485814,0.978758169,0.978046595,0.985865759,0.988659615,0.990166565
17,Jacksonville,0.879614172,0.891512203,0.93102108,0.954211139,0.947034122,0.95710779,0.965694832,0.973865728,0.979299018,0.973314735
18,Kansas City,0.993541562,0.975213464,0.984305638,0.994168317,0.992890112,0.991641826,0.991328571,0.996280055,0.997625351,0.995979833
19,Las Vegas,0.958140585,0.942371067,0.980038708,0.993110171,0.968013979,0.967470801,0.97155662,0.982350181,0.985419112,0.971763298
20,Los Angeles,0.960159814,0.945059643,0.967694952,0.994375476,0.978658606,0.982391279,0.986276761,0.992076478,0.989715399,0.981316664
21,Louisville,0.933154309,0.924793312,0.936472251,0.946866788,0.949741339,0.958765226,0.969725919,0.975086636,0.977526675,0.976244691
22,Memphis,0.920434621,0.920046528,0.932635275,0.944462697,0.944875743,0.949051768,0.961531135,0.970584459,0.978303518,0.982694897
23,Miami,0.89038698,0.904721012,0.929077494,0.944294811,0.938818895,0.939819203,0.942653481,0.940993831,0.942233677,0.939607086
24,Milwaukee,0.907938828,0.897487345,0.913476857,0.936551929,0.939746345,0.948403843,0.958525192,0.968844183,0.977336295,0.983709088
25,Minneapolis,0.915806956,0.904993804,0.937321037,0.959021527,0.963413236,0.969537967,0.979164763,0.985898653,0.990112222,0.991716138
26,Nashville,0.918526319,0.915808172,0.937747393,0.958812272,0.96584965,0.976410229,0.988215504,0.987619565,0.980015804,0.977130099
27,New York,0.90958663,0.904732485,0.910336656,0.936513771,0.944457964,0.946982114,0.952408488,0.961325783,0.9641222,0.959530462
28,Oklahoma City,0.953109807,0.947429089,0.956463108,0.964267856,0.967753863,0.972272899,0.96819306,0.965786248,0.967168562,0.975348321
29,Orlando,0.914607144,0.924056802,0.945782765,0.958111881,0.946271771,0.951148543,0.960140964,0.963494786,0.966762731,0.96452964
30,Philadelphia,0.922961523,0.907817837,0.915941529,0.934478883,0.937401179,0.940591138,0.95064434,0.959191394,0.964441448,0.964378696
31,Phoenix,0.924385952,0.934008433,0.974168591,0.968957335,0.955990324,0.966939817,0.970559069,0.974538175,0.978288121,0.977975197
32,Pittsburgh,0.926834386,0.917612282,0.928661897,0.9353384,0.93815237,0.940135513,0.942861313,0.944226186,0.95140735,0.956786972
33,Portland,0.915872369,0.91761766,0.958464597,0.978370317,0.977778472,0.991561026,0.996476746,0.992197029,0.988114598,0.987949429
34,Providence,0.901925441,0.89870466,0.910396955,0.931987416,0.936866456,0.94530142,0.957776805,0.966888058,0.970714302,0.967671498
35,Raleigh,0.931601039,0.926441249,0.943484125,0.963231614,0.968807993,0.976534405,0.984883522,0.989074062,0.991704158,0.98985543
36,Richmond,0.91364065,0.911035398,0.93423663,0.95570565,0.961448916,0.966302906,0.974478581,0.980111874,0.984662447,0.988323563
37,Riverside,0.976019283,0.957639908,0.97633103,0.995971247,0.973562385,0.972846298,0.977572693,0.982685612,0.981554219,0.978263335
38,Rochester,0.933843233,0.934759907,0.93664218,0.936883597,0.942752372,0.950678501,0.956707395,0.969219669,0.975759719,0.982352002
39,Sacramento,0.948010842,0.944634747,0.982036851,0.993634486,0.976960326,0.981759637,0.989412076,0.992852472,0.988678374,0.988221396
40,Salt Lake City,1.087869934,1.080322424,1.129251503,1.137413831,1.123418294,1.104990419,1.061897905,1.084683825,1.107883988,1.176357532
41,San Antonio,0.985004213,0.990207871,0.994848725,0.990861761,0.989558063,0.987306018,0.986096759,0.982514202,0.984237596,0.987232471
42,San Diego,0.958742693,0.939488162,0.963029956,0.985230703,0.965913445,0.972907098,0.979934497,0.983869146,0.978577403,0.975792363
43,San Francisco,0.964833528,0.95392353,0.991674633,1.028310279,1.012360511,1.020434681,1.013445506,1.020524474,1.021548951,1.000419149
44,San Jose,0.973808844,0.967078782,0.999445687,1.026788629,1.017233368,1.030178019,1.015171339,1.040415949,1.050639243,0.992042913
45,Seattle,0.922792631,0.923803414,0.958246018,0.986206579,0.982685335,0.993899378,0.999427536,1.005468239,0.999009099,0.993161053
46,St. Louis,0.917666045,0.905816101,0.923945701,0.942899356,0.9462175,0.953113246,0.961568571,0.965631195,0.9677381,0.971417005
47,Tampa,0.881543555,0.890130649,0.921343283,0.94198326,0.936189911,0.946434462,0.958224789,0.959931023,0.961429433,0.95976992
48,Virginia Beach,0.92749731,0.916770397,0.936059131,0.955074,0.954005056,0.958452918,0.963901868,0.968595198,0.972616507,0.976250113
49,Washington,0.957716592,0.955766461,0.966438288,0.981758758,0.975523233,0.973272099,0.976948425,0.982596328,0.986361335,0.991529868
