,Metro name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
0,Atlanta,5,4.9,6.4,5.5,4.7,4.3,3.9,3.8,3.4,3.1,3.1,3.7,5,4.9,4.8,5.4,4.7,4.4,6.2,9.9,10.3,9.9,8.8,7.8,6.7,5.7,5.1,4.5,3.8
1,Austin,4.9,4.5,4.2,3.6,3.2,2.9,3,3,2.7,2.3,3,4.3,5.9,6,5,4.5,4.1,3.6,4.3,6.9,7,6.6,5.7,5.2,4.2,3.4,3.3,3.1,2.9
2,Baltimore,4.9,6.8,7.6,7,6,5.5,5.6,5.5,5,4,3.8,4.3,4.7,4.8,4.6,4.4,4.1,3.6,4.4,7.4,8.1,7.6,7.2,6.8,6,5.3,4.6,4.4,4
3,Birmingham,5.4,6,6.5,6,4.7,4.4,3.6,3.7,3.2,3.3,3.9,4.2,5,5.2,4.9,4.1,3.7,3.6,5,10.2,9.8,8.8,7,6.3,6,5.5,5.5,4.1,3.5
4,Boston,5.2,5.2,5.2,5.3,5.5,5.7,5.9,6.1,6.3,6.6,6.8,7,7.2,7.4,7.6,7.7,7.9,7.9,8,8.1,8.1,8.1,8.1,8.1,8,8,8,8.1,8.1
5,Buffalo,5.3,7.1,7.5,6.8,6.1,5.4,5.1,5.3,5.4,5.3,4.3,4.8,5.5,5.9,5.8,5.3,5,4.8,5.9,8.3,8.6,8.2,8.5,7.6,6.3,5.5,5.1,5.3,4.6
6,Charlotte,3.5,5.5,5.9,5,3.9,3.6,3.8,3.3,2.8,2.7,3.4,5.1,6.2,6.5,5.9,5.4,4.9,5,6.5,11.9,11.7,10.6,9.3,7.9,6.2,5.5,4.8,4.3,3.6
7,Chicago,6.3,7.4,8.1,7.7,6,5.4,5.3,4.9,4.5,4.4,4.3,5.4,6.9,6.8,6.3,5.9,4.6,4.9,6.1,10.2,10.6,9.9,9.1,9.1,7.1,5.9,5.7,4.8,4
8,Cincinnati,4.4,5.3,6.2,6,5,4.4,4.4,3.9,3.7,3.7,3.7,4.1,5.2,5.5,5.5,5.4,5.2,5,5.8,9.5,9.9,8.9,7.4,7.3,5.5,4.5,4.4,4.3,4
9,Cleveland,5.1,6.4,7.4,6.4,5.4,4.4,3.8,3.6,2.6,2.9,2.7,3.6,5,5.5,5.3,5.1,4.9,5.5,6,8.6,8.4,7.3,6.5,6.8,6,5,5.4,5.6,5.1
10,Columbus,4,4.5,5.3,5.2,4.2,3.5,3.6,3.3,3.2,3.1,3.4,3.5,5.1,5.6,5.8,5.5,4.8,4.8,5.7,8.7,9,7.8,6.5,6.5,4.9,4.2,4.2,4.1,3.8
