,Listings Price Cut Perc Change,New Monthly Listings,Days on Market Perc Change,Buyer Seller Index Cross Geo,Days on Zillow,House Price Index,New Monthly Listings Perc Change,Median Sale Price Perc Change,Inventory Perc Change,Median Sale Price,Unemployment Rate,Real Per Capita Personal Income,Homes Sold,Listings Price Cut,SPY,Homes Sold Perc Change,Buyer Seller Index Cross Time,Median Value Per Square Feet,Employees Total Nonfarm,Resident Population,Days on Market,Inventory,Building Units,Sale to List Ratio,change next year,change 2 years,change 3 years,Metro name
2010,,,,2.515,137.33333330000002,94.06078804,,,,,10.3,41630.0,7082.25,14.020351805,0.14306958547498816,-0.003,1.025,72.75,2276.0,5302.703,,,7575.0,0.888532265,0.8850098390000001,0.930547473,0.95755099,Atlanta
2010,,,,6.12,102.33333329999999,106.72056880000001,,-0.115,,125475.0,9.6,36388.0,8493.083333333334,20.52403937,0.14306958547498816,-0.045,0.14,86.0,1691.6,4204.738,,,8300.0,0.9243859520000001,0.9340084329999999,0.974168591,0.968957335,Phoenix
2010,,,,5.34,108.91666670000001,118.3796243,,,,,8.1,42665.0,6384.833333333332,13.93839152,0.14306958547498816,-0.198,0.885,76.08333333,2929.4,6452.028,,,19558.0,1.01142736,1.008147747,1.012661835,1.0071349040000002,Dallas
2010,,,,3.5,124.375,128.488075,,0.016,,107325.0,8.0,48379.0,2054.583333333333,12.318385725,0.14306958547498816,-0.207,1.73,79.83333333,1125.6,2357.0860000000002,,,3615.0,0.9268343859999999,0.917612282,0.928661897,0.9353384,Pittsburgh
2010,,,,4.855,118.79166670000001,107.04526010000001,,0.02,,128375.0,9.0,43341.0,1984.0,14.4335328425,0.14306958547498816,-0.21600000000000003,1.915,89.75,920.3,1906.361,,,4444.0,0.92125169,0.918469271,0.9351219959999999,0.9553349,Columbus
2010,,,,4.21,121.33333329999999,140.0560716,,-0.031,,234216.66666666663,10.2,41864.0,2035.5,17.232795085,0.14306958547498816,-0.193,0.745,142.41666669999998,979.7,2232.205,,,4476.0,0.915872369,0.91761766,0.9584645970000001,0.978370317,Portland
2010,,,,3.485,125.54166670000001,92.48841572,,0.057,,108191.66666666669,8.4,46556.0,1805.666666666667,13.3879900525,0.14306958547498816,-0.266,1.54,80.83333333,990.9,2075.481,,,1941.0,0.894914663,0.887705986,0.9001055370000001,0.920806109,Cleveland
2010,,,,2.54,136.54166669999998,143.6910796,,,,,9.7,44370.0,,14.04502747,0.14306958547498816,,2.1,160.25,540.9,1603.115,,,1439.0,0.9019254409999999,0.89870466,0.910396955,0.9319874159999999,Providence
2010,,,,1.295,137.5,159.93955730000002,,-0.028999999999999998,,194650.0,8.8,46470.0,4747.333333333333,15.986230997499998,0.14306958547498816,-0.252,2.195,130.0,2695.7,5970.948,,,7053.0,0.922961523,0.9078178370000001,0.915941529,0.9344788829999999,Philadelphia
2010,,,,4.06,121.41666670000001,105.09682859999998,,-0.035,,121016.66666666669,9.9,46217.0,2092.333333333333,14.3243777675,0.14306958547498816,-0.251,1.495,86.16666667,981.7,2117.678,,,3206.0,0.914955065,0.9054871259999999,0.9168709999999999,0.93228643,Cincinnati
